FlightNumber,accm_txn_complete_time
20080415X00480 ,11/12/2025 5:41
20071121X01833 ,11/12/2025 8:41
20071210X01919 ,11/12/2025 4:41
20071217X01946 ,11/11/2025 9:41
20080104X00021 ,11/11/2025 7:41
20071228X02004 ,11/11/2025 4:41
20071228X02005 ,11/11/2025 4:41
20071121X01831 ,11/11/2025 8:41
20071127X01856 ,11/11/2025 7:41
20080206X00143 ,11/11/2025 8:41
20080220X00217 ,11/10/2025 7:41
20071121X01826 ,11/10/2025 4:41
20080115X00050 ,11/10/2025 9:41
20071206X01910 ,11/10/2025 6:41
20080321X00360 ,11/10/2025 4:41
20080307X00285 ,11/9/2025 7:41
20080104X00019 ,11/9/2025 8:41
20121004X53806 ,11/9/2025 4:41
20071120X01816 ,11/9/2025 6:41
20071119X01810 ,11/9/2025 7:41
20071113X01789 ,11/9/2025 4:41
20071227X01994 ,11/9/2025 7:41
20071126X01847 ,11/8/2025 4:41
20071121X01832 ,11/8/2025 9:41
20071121X01829 ,11/8/2025 8:41
20071119X01814 ,11/8/2025 6:41
20080108X00028 ,11/7/2025 9:41
20071119X01803 ,11/7/2025 9:41
20071108X01768 ,11/6/2025 5:41
20071108X01768 ,11/6/2025 4:41
20071121X01830 ,11/6/2025 5:41
20071113X01788 ,11/6/2025 4:41
20080115X00048 ,11/6/2025 8:41
20071129X01868 ,11/6/2025 9:41
20071114X01792 ,11/6/2025 8:41
20071106X01739 ,11/5/2025 4:41
20090303X93946 ,11/5/2025 8:41
20071111X01782 ,11/5/2025 4:41
20071106X01738 ,11/5/2025 5:41
20071226X01990 ,11/5/2025 8:41
20071205X01903 ,11/5/2025 7:41
20071119X01805 ,11/5/2025 4:41
20071209X01915 ,11/4/2025 9:41
20071204X01895 ,11/4/2025 7:41
20080103X00009 ,11/4/2025 9:41
20071119X01811 ,11/4/2025 7:41
20071109X01775 ,11/4/2025 4:41
20071121X01825 ,11/4/2025 5:41
20071114X01795 ,11/3/2025 9:41
20071107X01748 ,11/3/2025 8:41
20071203X01891 ,11/3/2025 4:41
20071217X01940 ,11/3/2025 5:41
20071129X01875 ,11/2/2025 7:41
20080129X00120 ,11/2/2025 8:41
20071108X01760 ,11/2/2025 4:41
20071108X01763 ,11/2/2025 6:41
20071109X01779 ,11/2/2025 8:41
20071127X01858 ,11/2/2025 8:41
20071120X01821 ,11/2/2025 8:41
20071108X01767 ,11/1/2025 5:41
20071108X01761 ,11/1/2025 6:41
20080104X00016 ,11/1/2025 9:41
20080104X00017 ,11/1/2025 5:41
20080111X00042 ,11/1/2025 7:41
20071219X01972 ,11/1/2025 6:41
20071203X01892 ,10/31/2025 7:41
20071113X01783 ,10/31/2025 4:41
20071121X01835 ,10/31/2025 5:41
20071109X01780 ,10/30/2025 4:41
20071109X01780 ,10/30/2025 4:41
20080219X00208 ,10/30/2025 7:41
20071205X01901 ,10/29/2025 5:41
20080103X00014 ,10/29/2025 5:41
20071114X01793 ,10/29/2025 4:41
20071102X01707 ,10/29/2025 6:41
20071107X01747 ,10/29/2025 7:41
20071120X01823 ,10/29/2025 8:41
20081219X65251 ,10/28/2025 8:41
20071102X01712 ,10/28/2025 7:41
20071031X01694 ,10/28/2025 7:41
20071101X01699 ,10/28/2025 8:41
20080103X00015 ,10/28/2025 4:41
20080311X00296 ,10/28/2025 6:41
20071102X01706 ,10/28/2025 4:41
20071115X01798 ,10/28/2025 5:41
20071120X01817 ,10/28/2025 8:41
20080215X00197 ,10/27/2025 8:41
20071106X01733 ,10/27/2025 9:41
20071102X01709 ,10/27/2025 6:41
20071119X01804 ,10/27/2025 6:41
20071106X01732 ,10/26/2025 9:41
20071105X01726 ,10/26/2025 6:41
20071030X01689 ,10/26/2025 5:41
20071126X01840 ,10/26/2025 7:41
20071128X01863 ,10/26/2025 8:41
20080215X00196 ,10/26/2025 9:41
20071211X01924 ,10/25/2025 7:41
20071127X01859 ,10/25/2025 6:41
20071127X01860 ,10/25/2025 4:41
20071128X01862 ,10/25/2025 7:41
20071105X01727 ,10/25/2025 4:41
20071104X01721 ,10/24/2025 8:41
20071126X01843 ,10/24/2025 6:41
20071126X01842 ,10/24/2025 9:41
20071127X01857 ,10/24/2025 4:41
20071120X01822 ,10/24/2025 6:41
20071212X01935 ,10/24/2025 7:41
20071102X01708 ,10/23/2025 6:41
20071109X01776 ,10/23/2025 4:41
20071026X01664 ,10/23/2025 6:41
20071108X01759 ,10/23/2025 7:41
20080229X00251 ,10/23/2025 7:41
20081003X62957 ,10/22/2025 5:41
20071024X01652 ,10/21/2025 4:41
20071024X01652 ,10/21/2025 7:41
20071107X01746 ,10/21/2025 8:41
20071126X01841 ,10/21/2025 7:41
20071109X01777 ,10/20/2025 5:41
20071119X01808 ,10/20/2025 6:41
20081003X17818 ,10/20/2025 5:41
20071030X01688 ,10/20/2025 7:41
20071205X01898 ,10/20/2025 9:41
20071129X01877 ,10/20/2025 7:41
20071023X01634 ,10/20/2025 8:41
20071104X01724 ,10/20/2025 4:41
20071025X01658 ,10/20/2025 6:41
20071026X01671 ,10/20/2025 4:41
20071211X01925 ,10/19/2025 5:41
20080215X00198 ,10/19/2025 5:41
20071108X01773 ,10/19/2025 8:41
20080415X00479 ,10/19/2025 6:41
20071129X01874 ,10/19/2025 4:41
20071115X01799 ,10/18/2025 6:41
20071106X01740 ,10/18/2025 7:41
20080116X00056 ,10/18/2025 9:41
20071203X01888 ,10/18/2025 7:41
20071025X01657 ,10/18/2025 5:41
20071030X01691 ,10/17/2025 4:41
20071022X01627 ,10/17/2025 6:41
20071030X01687 ,10/17/2025 7:41
20071102X01717 ,10/17/2025 5:41
20071030X01686 ,10/17/2025 4:41
20071121X01827 ,10/16/2025 9:41
20071119X01815 ,10/15/2025 6:41
20071102X01711 ,10/15/2025 6:41
20071108X01772 ,10/15/2025 8:41
20071113X01791 ,10/14/2025 4:41
20071121X01834 ,10/14/2025 4:41
20071029X01681 ,10/14/2025 5:41
20071023X01633 ,10/14/2025 6:41
20071023X01644 ,10/13/2025 9:41
20071023X01645 ,10/13/2025 6:41
20071115X01800 ,10/13/2025 9:41
20080215X00199 ,10/13/2025 9:41
20080324X00375 ,10/13/2025 8:41
20071130X01881 ,10/13/2025 5:41
20080104X00018 ,10/13/2025 5:41
20080328X00395 ,10/12/2025 8:41
20071029X01680 ,10/12/2025 5:41
20071114X01794 ,10/12/2025 5:41
20071113X01790 ,10/11/2025 6:41
20071126X01846 ,10/11/2025 5:41
20071128X01866 ,10/11/2025 9:41
20071023X01632 ,10/11/2025 7:41
20071126X01836 ,10/11/2025 4:41
20071012X01568 ,10/11/2025 7:41
20071115X01796 ,10/11/2025 9:41
20071128X01864 ,10/11/2025 9:41
20071210X01923 ,10/11/2025 8:41
20071210X01922 ,10/10/2025 5:41
20071018X01614 ,10/10/2025 6:41
20071024X01651 ,10/10/2025 5:41
20071029X01678 ,10/10/2025 7:41
20071029X01679 ,10/10/2025 4:41
20071104X01722 ,10/10/2025 8:41
20071102X01713 ,10/10/2025 5:41
20080107X00023 ,10/10/2025 4:41
20071023X01635 ,10/9/2025 8:41
20071011X01564 ,10/9/2025 4:41
20071029X01676 ,10/9/2025 8:41
20071029X01677 ,10/9/2025 7:41
20071029X01674 ,10/9/2025 6:41
20071029X01682 ,10/9/2025 8:41
20071018X01613 ,10/9/2025 6:41
20071017X01604 ,10/8/2025 9:41
20071029X01673 ,10/8/2025 6:41
20080103X00011 ,10/8/2025 7:41
20080305X00270 ,10/8/2025 7:41
20071023X01643 ,10/7/2025 6:41
20071023X01640 ,10/7/2025 6:41
20071022X01626 ,10/7/2025 8:41
20071012X01576 ,10/7/2025 5:41
20071016X01588 ,10/7/2025 6:41
20071106X01731 ,10/7/2025 5:41
20071017X01609 ,10/7/2025 8:41
20071106X01734 ,10/7/2025 6:41
20071101X01703 ,10/7/2025 7:41
20071107X01749 ,10/7/2025 7:41
20071128X01861 ,10/7/2025 7:41
20071127X01855 ,10/7/2025 4:41
20071120X01824 ,10/7/2025 4:41
20071120X01820 ,10/7/2025 9:41
20071025X01655 ,10/7/2025 8:41
20071025X01653 ,10/7/2025 4:41
20071029X01685 ,10/6/2025 7:41
20071107X01754 ,10/6/2025 9:41
20071018X01611 ,10/6/2025 9:41
20071018X01611 ,10/6/2025 9:41
20071019X01625 ,10/6/2025 7:41
20071012X01569 ,10/6/2025 5:41
20071017X01600 ,10/6/2025 4:41
20071217X01945 ,10/6/2025 6:41
20071128X01865 ,10/6/2025 7:41
20071017X01599 ,10/6/2025 8:41
20080103X00013 ,10/5/2025 9:41
20071017X01608 ,10/5/2025 5:41
20071017X01592 ,10/5/2025 4:41
20071214X01938 ,10/5/2025 8:41
20081219X05830 ,10/5/2025 5:41
20071102X01705 ,10/4/2025 5:41
20071108X01771 ,10/4/2025 6:41
20071119X01809 ,10/4/2025 4:41
20071025X01656 ,10/4/2025 8:41
20080103X00012 ,10/4/2025 5:41
20071219X01974 ,10/4/2025 5:41
20071031X01692 ,10/4/2025 5:41
20071029X01672 ,10/4/2025 5:41
20080310X00287 ,10/4/2025 6:41
20071012X01574 ,10/3/2025 7:41
20071009X01532 ,10/3/2025 7:41
20071011X01567 ,10/3/2025 7:41
20071111X01781 ,10/3/2025 5:41
20071102X01710 ,10/3/2025 8:41
20071016X01587 ,10/3/2025 6:41
20071102X01704 ,10/2/2025 4:41
20071106X01737 ,10/2/2025 6:41
20071012X01573 ,10/2/2025 8:41
20071113X01787 ,10/1/2025 7:41
20071104X01720 ,9/30/2025 6:41
20071101X01696 ,9/30/2025 7:41
20071001X01479 ,9/30/2025 4:41
20071107X01743 ,9/30/2025 9:41
20071026X01662 ,9/30/2025 5:41
20071022X01628 ,9/30/2025 6:41
20071003X01494 ,9/30/2025 4:41
20071004X01515 ,9/30/2025 9:41
20071012X01575 ,9/30/2025 5:41
20071011X01546 ,9/30/2025 9:41
20071108X01769 ,9/30/2025 9:41
20071018X01622 ,9/29/2025 6:41
20071108X01756 ,9/29/2025 9:41
20071217X01943 ,9/29/2025 5:41
20071005X01516 ,9/29/2025 6:41
20071009X01531 ,9/29/2025 6:41
20071002X01489 ,9/29/2025 6:41
20071101X01697 ,9/29/2025 9:41
20071026X01670 ,9/29/2025 5:41
20071102X01714 ,9/29/2025 7:41
20071105X01730 ,9/29/2025 4:41
20071127X01849 ,9/29/2025 7:41
20071126X01837 ,9/28/2025 9:41
20071126X01839 ,9/28/2025 6:41
20071011X01543 ,9/28/2025 9:41
20071005X01522 ,9/28/2025 6:41
20071009X01537 ,9/27/2025 8:41
20071012X01571 ,9/27/2025 5:41
20071003X01495 ,9/26/2025 8:41
20071029X01683 ,9/26/2025 8:41
20071017X01598 ,9/26/2025 8:41
20071011X01539 ,9/26/2025 5:41
20071026X01668 ,9/25/2025 9:41
20071026X01669 ,9/25/2025 7:41
20071024X01648 ,9/25/2025 4:41
20071104X01723 ,9/25/2025 4:41
20071002X01490 ,9/25/2025 6:41
20071022X01630 ,9/25/2025 6:41
20071004X01496 ,9/24/2025 7:41
20071102X01715 ,9/23/2025 5:41
20071115X01797 ,9/23/2025 5:41
20071108X01755 ,9/23/2025 4:41
20071004X01514 ,9/22/2025 6:41
20070926X01452 ,9/22/2025 9:41
20071116X01801 ,9/22/2025 7:41
20071116X01802 ,9/22/2025 7:41
20071127X01854 ,9/22/2025 6:41
20071101X01700 ,9/22/2025 4:41
20071005X01518 ,9/22/2025 5:41
20071119X01806 ,9/22/2025 5:41
20070926X01450 ,9/21/2025 9:41
20070927X01455 ,9/21/2025 7:41
20071002X01491 ,9/21/2025 8:41
20071012X01584 ,9/21/2025 8:41
20070925X01444 ,9/21/2025 9:41
20071101X01702 ,9/21/2025 5:41
20071017X01607 ,9/21/2025 8:41
20071009X01533 ,9/21/2025 5:41
20070928X01469 ,9/21/2025 6:41
20071004X01513 ,9/20/2025 6:41
20071030X01690 ,9/20/2025 6:41
20071026X01666 ,9/20/2025 4:41
20071106X01736 ,9/20/2025 9:41
20071103X01718 ,9/20/2025 6:41
20071009X01535 ,9/20/2025 4:41
20071004X01503 ,9/20/2025 9:41
20070926X01449 ,9/20/2025 9:41
20071031X01693 ,9/20/2025 7:41
20070924X01432 ,9/19/2025 8:41
20071005X01517 ,9/19/2025 4:41
20071003X01493 ,9/19/2025 4:41
20071024X01649 ,9/19/2025 7:41
20071127X01853 ,9/18/2025 4:41
20071015X01586 ,9/18/2025 4:41
20071024X01647 ,9/18/2025 7:41
20070927X01464 ,9/17/2025 7:41
20070924X01431 ,9/17/2025 8:41
20070927X01462 ,9/17/2025 8:41
20070928X01468 ,9/17/2025 6:41
20071126X01845 ,9/16/2025 5:41
20071102X01716 ,9/16/2025 6:41
20071113X01786 ,9/16/2025 8:41
20071113X01784 ,9/16/2025 8:41
20071023X01638 ,9/16/2025 4:41
20071018X01619 ,9/16/2025 6:41
20071017X01606 ,9/16/2025 4:41
20071001X01488 ,9/16/2025 9:41
20070921X01426 ,9/16/2025 5:41
20070924X01440 ,9/16/2025 7:41
20070925X01443 ,9/15/2025 5:41
20080611X00829 ,9/15/2025 5:41
20070928X01470 ,9/15/2025 8:41
20070918X01410 ,9/15/2025 4:41
20070917X01405 ,9/14/2025 4:41
20070927X01461 ,9/14/2025 6:41
20071005X01525 ,9/14/2025 6:41
20071012X01570 ,9/14/2025 6:41
20070924X01441 ,9/14/2025 9:41
20070924X01441 ,9/14/2025 6:41
20071015X01585 ,9/14/2025 9:41
20071018X01610 ,9/14/2025 5:41
20071018X01612 ,9/14/2025 6:41
20070923X01428 ,9/14/2025 5:41
20070927X01467 ,9/13/2025 4:41
20071017X01601 ,9/13/2025 8:41
20071108X01770 ,9/13/2025 8:41
20071105X01728 ,9/13/2025 5:41
20071011X01566 ,9/13/2025 4:41
20071012X01583 ,9/13/2025 7:41
20070927X01453 ,9/13/2025 9:41
20070924X01433 ,9/13/2025 9:41
20070924X01438 ,9/13/2025 6:41
20070919X01413 ,9/12/2025 5:41
20070927X01463 ,9/12/2025 6:41
20070917X01398 ,9/12/2025 9:41
20070913X01393 ,9/12/2025 9:41
20071012X01582 ,9/12/2025 8:41
20071011X01565 ,9/12/2025 4:41
20071017X01595 ,9/12/2025 6:41
20071018X01615 ,9/12/2025 8:41
20071018X01620 ,9/12/2025 4:41
20071025X01654 ,9/12/2025 5:41
20070923X01430 ,9/12/2025 8:41
20080227X00242 ,9/12/2025 9:41
20070927X01460 ,9/11/2025 6:41
20071103X01719 ,9/11/2025 8:41
20070920X01419 ,9/11/2025 5:41
20071024X01646 ,9/11/2025 8:41
20071011X01563 ,9/11/2025 9:41
20071012X01579 ,9/11/2025 7:41
20071012X01581 ,9/11/2025 9:41
20071107X01745 ,9/11/2025 6:41
20070920X01418 ,9/11/2025 9:41
20070924X01434 ,9/11/2025 9:41
20070911X01377 ,9/10/2025 9:41
20071101X01701 ,9/10/2025 6:41
20071108X01764 ,9/9/2025 4:41
20071001X01486 ,9/9/2025 4:41
20081003X62956 ,9/9/2025 6:41
20070919X01412 ,9/8/2025 8:41
20071001X01485 ,9/8/2025 5:41
20071005X01523 ,9/8/2025 5:41
20071005X01530 ,9/8/2025 4:41
20070911X01380 ,9/8/2025 4:41
20070919X01416 ,9/8/2025 6:41
20070917X01402 ,9/8/2025 8:41
20071107X01751 ,9/8/2025 4:41
20071017X01603 ,9/8/2025 7:41
20071024X01650 ,9/8/2025 7:41
20071017X01602 ,9/7/2025 4:41
20071017X01593 ,9/7/2025 6:41
20070919X01417 ,9/7/2025 6:41
20070924X01436 ,9/7/2025 8:41
20070924X01437 ,9/7/2025 8:41
20070921X01427 ,9/7/2025 7:41
20071011X01562 ,9/7/2025 9:41
20071023X01631 ,9/7/2025 8:41
20070926X01447 ,9/6/2025 8:41
20070917X01406 ,9/6/2025 6:41
20071101X01698 ,9/6/2025 8:41
20071108X01765 ,9/6/2025 4:41
20070920X01422 ,9/5/2025 9:41
20070919X01415 ,9/5/2025 8:41
20071023X01641 ,9/5/2025 8:41
20071004X01497 ,9/5/2025 9:41
20070911X01378 ,9/5/2025 6:41
20071205X01900 ,9/4/2025 4:41
20070926X01445 ,9/4/2025 7:41
20071017X01605 ,9/4/2025 8:41
20071016X01589 ,9/3/2025 6:41
20081007X17184 ,9/3/2025 9:41
20071005X01529 ,9/3/2025 9:41
20071005X01526 ,9/3/2025 5:41
20071005X01527 ,9/3/2025 7:41
20071009X01536 ,9/3/2025 9:41
20071009X01534 ,9/3/2025 8:41
20070911X01379 ,9/3/2025 6:41
20071120X01819 ,9/3/2025 6:41
20070926X01451 ,9/3/2025 8:41
20070910X01346 ,9/3/2025 4:41
20070906X01319 ,9/3/2025 7:41
20070910X01344 ,9/3/2025 6:41
20070925X01442 ,9/2/2025 8:41
20070907X01321 ,9/2/2025 8:41
20070917X01400 ,9/2/2025 7:41
20070917X01400 ,9/2/2025 4:41
20070910X01345 ,9/2/2025 7:41
20070923X01429 ,9/2/2025 7:41
20071205X01902 ,9/2/2025 8:41
20071011X01559 ,9/2/2025 5:41
20071017X01596 ,9/2/2025 4:41
20070927X01454 ,9/2/2025 5:41
20070927X01454 ,9/2/2025 7:41
20070907X01326 ,9/1/2025 6:41
20071107X01750 ,9/1/2025 9:41
20071017X01597 ,9/1/2025 4:41
20071019X01624 ,9/1/2025 5:41
20071011X01558 ,9/1/2025 4:41
20071004X01509 ,9/1/2025 4:41
20071004X01510 ,9/1/2025 5:41
20071004X01511 ,9/1/2025 7:41
20070927X01457 ,9/1/2025 6:41
20070910X01355 ,9/1/2025 8:41
20070916X01395 ,9/1/2025 6:41
20071005X01519 ,9/1/2025 8:41
20070911X01372 ,8/31/2025 9:41
20070911X01375 ,8/31/2025 6:41
20070906X01318 ,8/31/2025 9:41
20070924X01439 ,8/31/2025 7:41
20071004X01512 ,8/31/2025 5:41
20071011X01561 ,8/31/2025 7:41
20071011X01556 ,8/31/2025 7:41
20071011X01540 ,8/31/2025 7:41
20080118X00078 ,8/31/2025 9:41
20070919X01414 ,8/31/2025 8:41
20080321X00347 ,8/30/2025 8:41
20071011X01557 ,8/30/2025 9:41
20071012X01580 ,8/30/2025 4:41
20071005X01524 ,8/30/2025 9:41
20070911X01376 ,8/30/2025 7:41
20070910X01354 ,8/30/2025 5:41
20071012X01577 ,8/29/2025 4:41
20071012X01578 ,8/29/2025 6:41
20071011X01553 ,8/28/2025 4:41
20070911X01361 ,8/28/2025 7:41
20070831X01275 ,8/28/2025 4:41
20070831X01276 ,8/28/2025 5:41
20070917X01396 ,8/28/2025 9:41
20070831X01280 ,8/27/2025 7:41
20070904X01306 ,8/27/2025 9:41
20070912X01382 ,8/27/2025 7:41
20070918X01407 ,8/27/2025 8:41
20071011X01552 ,8/26/2025 8:41
20070907X01327 ,8/26/2025 6:41
20071113X01785 ,8/26/2025 9:41
20071018X01616 ,8/26/2025 9:41
20071026X01663 ,8/26/2025 9:41
20070830X01273 ,8/26/2025 9:41
20080204X00135 ,8/25/2025 4:41
20071107X01744 ,8/25/2025 6:41
20070911X01373 ,8/25/2025 8:41
20070905X01313 ,8/25/2025 6:41
20070908X01330 ,8/25/2025 5:41
20070908X01331 ,8/25/2025 9:41
20070904X01305 ,8/25/2025 6:41
20071011X01551 ,8/25/2025 9:41
20070912X01386 ,8/25/2025 4:41
20070918X01409 ,8/25/2025 8:41
20070920X01420 ,8/25/2025 4:41
20070905X01310 ,8/25/2025 5:41
20070911X01374 ,8/24/2025 4:41
20071004X01498 ,8/24/2025 5:41
20070831X01287 ,8/24/2025 9:41
20070908X01332 ,8/24/2025 9:41
20070909X01340 ,8/24/2025 7:41
20071108X01766 ,8/24/2025 9:41
20070905X01314 ,8/24/2025 9:41
20070917X01403 ,8/23/2025 5:41
20070904X01308 ,8/23/2025 7:41
20071019X01623 ,8/23/2025 9:41
20070927X01456 ,8/23/2025 5:41
20070927X01458 ,8/22/2025 6:41
20070920X01421 ,8/22/2025 4:41
20071101X01695 ,8/22/2025 7:41
20071105X01729 ,8/22/2025 4:41
20070824X01235 ,8/22/2025 8:41
20071011X01550 ,8/21/2025 9:41
20070918X01408 ,8/20/2025 8:41
20070911X01365 ,8/20/2025 7:41
20070829X01263 ,8/20/2025 6:41
20070927X01466 ,8/20/2025 4:41
20070827X01244 ,8/20/2025 7:41
