AirportCode,AirportName,Country
 0IN1 , Snider Field , United States 
QCU,Sunset Bay Airport, United States 
 FCH , Fresno Chandler Executive , United States 
QCQ,River Point Municipal, United States 
 ILG , New Castle Airport , United States 
 HBG , BOBBY L CHAIN MUNI , United States 
OEA,Clearwater Bay Municipal, United States 
 BWI , BALTIMORE-WASHINGTON INTL , United States 
 BWI , BALTIMORE-WASHINGTON INTL , United States 
 COE , Coeur d'Alene Air Terminal , United States 
 21FA , Rockledge Airport , United States 
 GAI , Montgomery County Airpark , United States 
 KTMB , Kendall Tamiami Executive Airp , United States 
 0A7 , Hendersonville Airport , United States 
NBF, NONE , United States 
JVK,River Bay International, Turkey 
VLA,Sunset Heights Regional, United States 
KQC,Silver Bluff Municipal, United States 
 L09 , Stovepipe Wells Airport , United States 
 H96 , Benton Municipal Airport , United States 
UCU,Oak Hill Regional, Germany 
 LBE , Arnold Palmer Regional Airport , United States 
 RSW , Southwest Florida Internationa , United States 
 1F9 , BRIDGEPORT MUNI , United States 
 PAWS , Wasilla , United States 
 KISM , Kissimmee Gateway , United States 
SHB,River Bluff Regional, United States 
ZMF,Oak Bay Airport, United States 
LUO,Green Harbor International, United States 
 KRVS , Richard Lloyd Jones airport , United States 
VUR,Oak Point Municipal, United States 
 E80 , Alexander Municipal Airport , United States 
 VNC , Venice Municipal Airport , United States 
TAW,Oak Creek International, Russia 
 OWB , Owensboro - Caviess County Apt , United States 
 FBL , FARIBAULT MUNI , United States 
SUA,Oak Hill Airport, United States 
 PHX , Phoenix Sky Harbor Int'l. , United States 
 TMB , Kendall-Tamiami Executive , United States 
MOX,Sunset Bluff Regional, United States 
 FFZ , Falcon Field Airport , United States 
FZJ,Mountain Heights Airport, United States 
 HQZ , PHIL L HUDSON MUNI , United States 
BFF,River Valley Airport, United States 
 AUN , Auburn , United States 
 LFMN ," Cote D'Azur, Nice, France ", France 
JKU,Redwood Point Regional, United States 
 TWF , Joslin Field , United States 
 SWF , Stewart International , United States 
TGV,Clearwater Field International, Indonesia 
BLH,Green Hill Airport, United States 
 CRQ , Mc Clellan-Palomar Airport , United States 
XFQ,Mountain Valley International, United States 
BIN,Green Field Airfield, United States 
 BGM , Greater Binghamton Airport , United States 
 RMN , Ramona Airport , United States 
 NONE , Private Airstrip , United States 
 KM93 , Houston County , United States 
KZG,Sky Bay Municipal, United States 
 MER , Castle Airport , United States 
 MKO , DAVIS FIELD , United States 
GPX,Green Valley International, Australia 
 TBR , Statesboro-Bulloch County , United States 
 DAL , Love Field , United States 
 LFPG , Roissy , France 
NEQ,Silver Hill Regional, United States 
IQP,Redwood Heights Regional, United States 
 SBA , Santa Barbara Municipal , United States 
 MBT , Murfreesboro Municipal Airport , United States 
 NONE , Meadview Airstrip , United States 
LLJ,Clearwater Springs International, Japan 
 EIK , Erie Municipal Airport , United States 
DOP,Green Heights Municipal, United States 
 MKC , Downtown Airport , United States 
 UGN , Waukegan Regional , United States 
UHE,River Field International, United States 
 C83 , Byron Airport , United States 
 HYA , BARNSTABLE MUNI-BOARDMAN/POLAN , United States 
 4AK6 , WOLF LAKE , United States 
 IXD , New Century Aircenter , United States 
 OCF , Ocala International , United States 
EUE,Green Harbor Regional, United States 
 KSLC , Salt Lake City , United States 
 SEZ , Sedona Airport , United States 
 AZ82 , Mogollon Airpark , United States 
 PRIV , Private , United States 
 NH69 , Windsock Village Airport , United States 
 79NC , Ball Airport , United States 
 KMMV , McMinnville Municipal , United States 
 KSGR , Sugar Land Regional Airport , United States 
 E95 , Benson Municipal Airport , United States 
 MDD , MIDLAND AIRPARK , United States 
 80KY , David Lowe Airport , United States 
 HWO , Hollywood North Perry , United States 
 APC , Napa County Airport , United States 
OJU,Sky Creek Regional, United States 
OZO,River Creek Airfield, United States 
 LL53 , Olson Airport , United States 
NMS,Sunset Creek Regional, Unknown 
 PAQ , PALMER MUNI , United States 
ERA,Clearwater Point Airport, United States 
 L73 , POSO-KERN COUNTY , United States 
 MOR , Moore-Murrell Airport , United States 
 1F0 , Adrmore Downtown Executive , United States 
CYE,Green Springs Airfield, United States 
OHM,Mountain Valley International, United States 
VCV,Oak Harbor Airfield, United States 
EUL,Clearwater Bluff International, South Africa 
MUK,Clearwater Bluff Airport, France 
 OPF , Opa Locka Executive Airport , United States 
 OPF , Opa Locka Executive Airport , United States 
 O16 , Garberville Airport , United States 
 CNO , Chino Airport , United States 
LAZ,River Valley Airfield, United States 
BWC,Green Hill Municipal, United States 
RJU,Clearwater Harbor Airport, United States 
 FTW , FORT WORTH MEACHAM , United States 
XOE,Sunset Creek International, Austria 
 FYJ , Middle Peninsula , United States 
YMH,River Springs Airport, Mexico 
 KBNA , Nashville International , United States 
 CEZ , Cortez Municipal , United States 
QDT,Mountain Point International, United States 
 1I5 , Freehold Airport , United States 
VXB,Green Springs Regional, United States 
 NONE , Coltey , United States 
MWA,Sky Springs Regional, Brazil 
 KTCL , Tuscaloosa Regional Airport , United States 
 D74 , Chorman Airport , United States 
 FD93 , YELLOW RIVER AIRSTRIP , United States 
AVW,Sunset Harbor International, United States 
 50S , Parma , United States 
 AXH , HOUSTON-SOUTHWEST , United States 
 VT46 , Northern Lights , United States 
 FWS , FORT WORTH SPINKS , United States 
 7S5 , Independence State Airport , United States 
JUR,Oak Field Airfield, United States 
 4SD , Reno/Stead Airport , United States 
OSF,Silver Heights International, United States 
 4G1 , Greenville Municipal Airport , United States 
ISI,Oak Point Airport, United States 
 PFN , Panama City International , United States 
 2D1 , Barber Airport , United States 
 LAF , Purdue University Airport , United States 
QOO,River Valley Municipal, United States 
 SIAV ,River Springs International, Brazil 
 61S , Cottage Grove State , United States 
TZL,Green Valley Regional, Panama 
 NONE , Private Airstrip , United States 
 DVT , Phoenix Deer Valley , United States 
 DVT , Phoenix Deer Valley , United States 
 O15 , TURLOCK MUNI , United States 
 03S , Sandy River Airport , United States 
 BKX , Brookings Regional Airport , United States 
 1V6 , Fremont County Airport , United States 
 SNA , John Wayne Airport , United States 
KFS,Sunset Heights Municipal, United States 
XGJ,Sunset Heights International, United States 
 CLT , Douglas International , United States 
 KUDD , Bermuda Dunes Airport , United States 
YQB,Silver Hill Airport, United States 
 LAM , Los Alamos Airport , United States 
 DLH , Duluth International Airport , United States 
VRA,Green Hill Regional, Canada 
 2WA1 , Diamond Point Airstrip , United States 
CVN,Sunset Point International, Poland 
YHY,Green Valley Regional, Spain 
TAW,Lake Heights International, Japan 
 ACY , Atlantic City International , United States 
LMJ,Oak Hill Municipal, United States 
 LNA , Palm Beach County Park Airport , United States 
 82J , Ferguson Airport , United States 
JYC,Green Hill International, United States 
ZPU,Green Point Municipal, United States 
 SWO , STILLWATER MUNI , United States 
 CMA , Camarillo Airport , United States 
YQS,Lake Bay Airport, Canada 
 RNP , Owosso Community Airport , United States 
 RNM , Ramona Airport , United States 
NEL,Sunset Field Airport, United States 
 FCH , Fresno Chandler Executive , United States 
 1Q4 , New Jerusalem , United States 
 SUA , Witham Field , United States 
NGI,Redwood Heights Airfield, United States 
 GJT , Walker Field , United States 
QKH,Sunset Springs Airfield, United States 
 KLGB , Long Beach , United States 
YXK,Sky Bay Airfield, United States 
 LXL , Little Falls-Morrison County , United States 
RIF,Redwood Field Airfield, United States 
 FMY , Page Field , United States 
 2FA5 , Thunderbird Air Park , United States 
XVK,Green Springs Airport, Venezuela 
SHJ,Oak Heights Municipal, Namibia 
 KFRG , Republic Airport , United States 
 KFRG , Republic Airport , United States 
 KEDE , Northeastern Regional Airport , United States 
RFQ,Redwood Bay Airfield, United States 
 55AK , Lawrence Airstrip , United States 
 3B1 , Greenville Municipal Airport , United States 
 8A1 , Guntersville Municipal Airport , United States 
 SAF , SANTA FE COUNTY MUNI , United States 
 DAG , BARSTOW-DAGGETT , United States 
 KLFK , Angelina County Airport , United States 
 FAR , Hector International , United States 
WPZ,Sunset Field Airport, United States 
VWU,Mountain Bluff Airport, United States 
FOR,River Point Airport, United States 
 PVT , Private , United States 
MCO,Mountain Creek Regional, Canada 
SFS,Silver Field International, United States 
 0A7 , Hendersonville , United States 
NJQ,Oak Bluff Municipal, United States 
JOA,Sky Bluff Airfield, United States 
NUD,Sky Valley Regional, United States 
KNO,Redwood Heights International, United States 
 ARA , Acadiana Regional Airport , United States 
TDW,Lake Valley Municipal, United States 
CGO,Lake Bay Regional, Switzerland 
QMT,Sky Point International, United States 
 1V6 , Fremont County Airport , United States 
 PCZ , Waupaca Muni , United States 
 GLD , Renner Field , United States 
 K1L8 , Gen Dick Stout Field , United States 
 L94 , Mountain Valley Airport , United States 
CLQ,Clearwater Springs Regional, United States 
 STC , St Cloud Muni , United States 
 FFZ , Falcon Field Airport , United States 
 53U , Ferndale , United States 
 IXD , New Century Aircenter , United States 
 CBE , Greater Cumberland Regional , United States 
 5C1 , BOERNE STAGE FIELD , United States 
 LVJ , Pearland Regional Airport , United States 
 MKG , Muskegon County , United States 
ZMH,Silver Bluff International, Canada 
VGE,Green Springs International, Bahamas 
 7S3 , STARK'S TWIN OAKS AIRPARK , United States 
 1AR9 , Country Air Estates , United States 
QBY,Redwood Bay Airfield, Colombia 
 DEN , Denver International , United States 
 MFE , MC ALLEN MILLER INTL , United States 
 GEU , Glendale Municipal Airport , United States 
 KBAZ , New Braunfels Municipal , United States 
CSD,Lake Bluff Municipal, United States 
WEL,Clearwater Harbor Regional, United States 
 PDK , Dekalb-Peachtree , United States 
 KMEM , Memphis International , United States 
BCL,Lake Valley Airfield, Turkey 
TRJ,Redwood Valley Airfield, Argentina 
 HSA , STENNIS INTL , United States 
 HAA , Hunt's Ag-Air , United States 
FTZ,Sky Harbor Municipal, United States 
 HLX , TWIN COUNTY , United States 
 AFO , Afton Municipal , United States 
 CNU , Chanute Martin Johnson Airport , United States 
 35KY , Welcome Field , United States 
 8U8 , Townsend , United States 
FRS,Lake Valley Municipal, United States 
 ORD , CHICAGO O'HARE INTL , United States 
 OSU , OHIO STATE UNIVERSITY , United States 
SWC,Clearwater Hill Municipal, United States 
PID,Clearwater Creek Regional, United States 
YAT,Redwood Creek Municipal, United States 
 TAD , Perry Stokes Field , United States 
VGJ,Sky Harbor Municipal, United States 
 FES ," Festus Memorial Airport, ", United States 
FZA,Lake Valley Regional, United States 
 AIG ,Lake Bluff Airfield, United States 
 58N , Reigle Airport , United States 
 T89 , Castroville Municipal Airport , United States 
AVM,Lake Bay Regional, United States 
UWL,Green Hill Airfield, United States 
 9A3 , Chuathbaluk , United States 
DHV,Redwood Heights Municipal, Venezuela 
 3VA3 , Flying Circus Aerodrome , United States 
SHT,River Field Regional, United States 
NML,Redwood Bluff International, United States 
BWF,Redwood Valley Municipal, United States 
 KCMH , Port Columbus , United States 
 TDF , PERSON COUNTY , United States 
 IDL , INDIANOLA MUNI , United States 
FPP,River Springs Airfield, United States 
 KTTD , Troutdale , United States 
 CUB , Columbia Owens Downtown Airpor , United States 
 TISX ," Rohlsen Airport, St Croix USVI ", United States 
 HMT , Hemet-Ryan , United States 
 KUOX , University of Oxford Airport , United States 
 SEE , Gillespie Field Airport , United States 
 SEE , Gillespie Field Airport , United States 
RFO,Green Point Regional, United States 
GMO,Silver Creek Regional, United States 
 N57 , New Garden Airport , United States 
CYC,Green Valley Municipal, United States 
 LUL , HESLER-NOBLE FIELD , United States 
KXA,Sunset Hill Regional, United States 
 H35 , Clarksville Municipal , United States 
SZR,Sunset Valley Airport, United States 
PYH,Mountain Bluff International, United States 
 KFFO , Dayton-Wright Patterson AFB , United States 
 HFD , Hartford-Brainard , United States 
 5V4 , Calhan Airport , United States 
MZJ,Silver Creek Airfield, United States 
 AFP , Anson County Airport , United States 
DUU,Sunset Bay Airport, United States 
AKZ,Redwood Springs Municipal, United States 
YOP,Redwood Bluff Airfield, United States 
 KDTO , Denton Municipal Airport , United States 
ONC, Not Applicable , United States 
EOM,Silver Creek Airport, Germany 
 78OR , CROWLEY RANCH AIRSTRIP , United States 
AMC,Clearwater Point Airfield, United States 
PMR,Lake Field Municipal, United States 
 M33 , Gallatin , United States 
 U42 , SLC Muni 2 Airport , United States 
 CPK , Chesapeake Regional Airport , United States 
 DWU , Ashland Regional Airport , United States 
 NONE , Watercraft LZ , United States 
FKA,Mountain Point Airport, United States 
TJQ,Lake Harbor Regional, United States 
 IDI , Indiana County , United States 
 6S8 , Laurel Municipal , United States 
KXM,Redwood Hill Airport, United States 
 FKN , Franklin Municipal Airport , United States 
 NONE , Coopers Field , United States 
 HOU , WILLIAM P HOBBY , United States 
VGF,Mountain Creek Airport, United States 
XVG,Sunset Point Airfield, United States 
 SCK , Stockton Metropolitan , United States 
 BFL , Meadown Field , United States 
 MGG , Maple Lake Municipal , United States 
 KVTA , Newark-Heath Airport , United States 
HJF,Green Bay Municipal, Italy 
WHT,Green Bay Municipal, United States 
DTK,Clearwater Harbor International, United States 
 ALO , Waterloo Regional Airort , United States 
UXQ,Oak Valley Airport, United States 
 RNM , Ramona , United States 
 O15 , Turlock Municipal , United States 
 MU02 , C.E.F. Airport , United States 
 83J , Coastal Airport , United States 
 60R , NAVASOTA MUNI , United States 
 PPA , PERRY LEFORS FIELD , United States 
 TKI , MC KINNEY MUNI , United States 
 TEB , TETERBORO , United States 
 STL , Lambert-St. Louis Int Airport , United States 
EEC,River Harbor Municipal, United States 
 L25 , Pearce Ferry , United States 
MNB,Sunset Valley Regional, United States 
EOT,Oak Creek Regional, United States 
YRK,Oak Bay Regional, Uganda 
 COI , Merritt Island , United States 
 P19 , Stellar Airpark , United States 
 CNO , Chino Airport , United States 
 9S9 , Lexington , United States 
 NONE ,River Creek Airfield, United States 
 FD77 , Wimauma Air Park , United States 
 TYR , Tyler Municipal , United States 
 0E0 , MORIARTY , United States 
 W27 , Woodland State Airport , United States 
WTU,Lake Hill International, United Kingdom 
ICV,Oak Point International, Italy 
 DWU , Ashland Regional , United States 
UHA,Lake Point Municipal, United States 
 BMI , Central Illinois Regional , United States 
 TSO , Carroll County - Tolson Arpt. , United States 
 BNA , Nashville International Airpor , United States 
WWB,Clearwater Harbor Municipal, United States 
 TN64 , West Wind Airpark , United States 
MCB,Lake Bluff Airfield, United States 
XBV,Clearwater Bluff Municipal, United States 
BXG,Sunset Bay Municipal, United States 
 BTY , Beatty Airport , United States 
 S07 , BEND MUNI , United States 
QHI,Silver Harbor Airfield, United States 
MNX,Redwood Valley Municipal, United States 
 MMK , MERIDEN MARKHAM MUNI , United States 
 KFXE , Fort Lauderdale Executive , United States 
 EVB , New Smyrna Beach , United States 
PNN,Sky Bay Municipal, Japan 
 GWS , GLENWOOD SPRINGS MUNI , United States 
 KLG , La Grande/Union County Airport , United States 
 0Q3 , Sonoma Valley Airport , United States 
 83FL , Nassau , United States 
 I58 , Santa Rosa Route 66 Airport , United States 
IIL,Mountain Bluff Airport, United States 
UAO,Silver Bluff Airfield, United States 
 PVT , Private Airstrip , United States 
 L65 , Perris Valley Airport , United States 
 CHA , LOVELL FIELD , United States 
 29G , Portage County Airport , United States 
 RYY , Cobb County Airport , United States 
 BDR , Igor I Sikorsky Mem Airport , United States 
RSA,Lake Hill International, United States 
 FLG , Flagstaff Puliam , United States 
 SPB , Scappoose Industrial Airpark , United States 
OMS,Mountain Valley Regional, United States 
NKF,Green Bay Airport, United States 
 8NC9 , W.N.C. Air Museum Airport , United States 
 F05 , Wilbarger County Airport , United States 
 1G3 , Kent State University Airport , United States 
 T74 , TAYLOR MUNI , United States 
XQJ,River Point Regional, United States 
CII,Sunset Heights International, United States 
 CPM , Compton/Woodley Airport , United States 
BDC,Redwood Bluff International, United States 
EEF,Clearwater Creek Municipal, United Kingdom 
LFU,Silver Bluff Regional, Thailand 
OKV,Mountain Harbor Airport, Switzerland 
KLI,Sunset Harbor Regional, United States 
 GA35 , Cypress Lakes , United States 
 RYY , Cobb County , United States 
 EIK , Erie Municipal Airport , United States 
 41F , Floydada Municipal , United States 
HTO,Green Harbor Airport, United States 
 OQN , Brandywinde Airport , United States 
 82CL , Fort Bragg Airport , United States 
 4SD , Reno/Stead Airport , United States 
 4SD , Reno/Stead Airport , United States 
 OAK , METROPOLITAN OAKLAND INTL , United States 
 PDK , Dekalb-Peachtree Airport , United States 
 00E , Lava Hot Springs Airport , United States 
 MMGL , Guadaalajara Internation , Mexico 
IQG,Sky Hill Airfield, United States 
 VDF , Vandenberg , United States 
 38D , SALEM AIRPARK INC , United States 
 6B6 , Minute Man Air Field , United States 
 KLVN , Air Lake Airport , United States 
 S80 , Grangeville Airport , United States 
KYF,Lake Heights Municipal, United States 
 KBVS , Skagit Regional , United States 
 4SD , Reno Stead Airport , United States 
DDF,Lake Point International, United States 
XKA,Sunset Point Airport, United States 
JUF,Silver Harbor Airport, United States 
 APA , Centennial Airport , United States 
 KLGB , Long Beach Airport , United States 
CPB,Green Hill International, United States 
 KMRN , Foothills Regional Airport , United States 
UYZ,Clearwater Harbor International, United States 
 HLN , Helena Regional Airport , United States 
 ABE , Lehigh Valley Intl. Airport , United States 
DZS,Redwood Springs Regional, United States 
 00AL , Private Strip , United States 
 L80 , Roy Williams Airport , United States 
 EET , Shelby County Airport , United States 
TLL,Mountain Hill Airfield, Haiti 
 PVF , Placerville Airport , United States 
 MO3 , Stockton Muni , United States 
 13W , Camano-Stanwood , United States 
 L00 , Rosamond Skypark , United States 
HWE,River Bluff Airfield, United States 
MRT,Silver Hill Airport, United States 
 4SD , Stead Field , United States 
 HOB , Lea County Regional Airport , United States 
QLD,River Heights Airport, United States 
 KCUB , Columbia Owens Downtown , United States 
 SZP , Santa Paula Airport , United States 
HBV,Oak Valley Municipal, South Africa 
VUH,River Creek Municipal, Germany 
 0S9 , Jefferson County International , United States 
 FA43 , Dog Island Airport , United States 
 GVL , Lee Gilmer Memorial , United States 
LXE,Sky Field International, United States 
 ELN , Bowers Filed , United States 
 1B9 , MANSFIELD MUNI , United States 
 F83 , ABERNATHY MUNI , United States 
 GMU , Greenville , United States 
 ERV , KERRVILLE MUNI/LOUIS SCHREINER , United States 
 CRE , Grand Strand , United States 
HEK,Lake Harbor Airfield, United States 
 PALH , Lake Hood Seaplane Base , United States 
ADQ,Redwood Springs Airfield, United States 
 POC , Brackett Field Airport , United States 
 NTU , Oceana Naval Air Station , United States 
 WI58 , Wingfield Airport , United States 
ULI,Lake Bay Airport, Thailand 
TEX,Sky Valley Airfield, United States 
NQA,Green Hill Airfield, United States 
RXW,Oak Heights International, United States 
NTZ,Green Valley Airfield, United States 
 LAL , Lakeland Linder Regional , United States 
HDG,Oak Creek Airport, United States 
 PTK , Oakland-Pontiac , United States 
 1N1 , Sandia Airpark Estates East , United States 
VSZ,Lake Bay Regional, United States 
 SZP , Santa Paula Airport , United States 
 BOS , General Edward Lawrence Logan , United States 
 KSDC , Williamson-Sodus , United States 
COF,Green Hill Municipal, United States 
NBU,Sky Creek Municipal, United States 
 N07 , Lincoln Park , United States 
 4SD , Reno/Stead , United States 
VNM,Clearwater Hill Municipal, United States 
 1WA6 , Fall City , United States 
TRX,Lake Bluff Airfield, United States 
 P52 , Cottonwood , United States 
FRA,Sunset Valley Municipal, United States 
 7KY2 , Ryan Field , United States 
 89D , Kelleys Island , United States 
BKR,Oak Valley International, United States 
 3CK , Lake-in-the-Hills , United States 
 KHZL , Hazleton Minicipal , United States 
 SN76 , Sunflower Aerodrome Gliderport , United States 
 FRG , Republic Airport , United States 
 FRG , Republic Airport , United States 
TBP,River Valley Airport, United States 
 KBGD , Hutchinson County Airport , United States 
 TVY , Tooele Valley Field , United States 
 07K , Central City Muni , United States 
 KHPN , Westchester County Airport , United States 
 7FL6 , Spruce Creek Airport , United States 
 7FL6 , Spruce Creek Airport , United States 
 0A9 , Elizabethton Municipal Airport , United States 
 60TE , Tierra Linda irport , United States 
 KOBE , Okeechobee , United States 
 7G4 , Blue Knob Valley Airport , United States 
 K4G3 , Miller Field , United States 
 NONE , Unnamed airstrip , United States 
 RHV , Reid-Hillview of Santa ClaraCo , United States 
 FFZ , Falcon Field , United States 
QVW,Mountain Field Regional, United States 
 MOD , Modesto City , United States 
QBE, Mystic Lake Lodge , United States 
WVM,Mountain Bay Airfield, United States 
 42U , Morgan County Airport , United States 
 L05 , Kern Valley Airport , United States 
ORI,Redwood Field International, United States 
 LWC , Lawrence Municipal , United States 
 RWL , Rawlins Municipal Airport , United States 
 MWO , Hook Field Muni , United States 
BVR,Silver Valley Regional, United States 
 KFWA , Fort Wayne International , United States 
 42CN , Peg Field Airport , United States 
WKR,Lake Harbor Airport, Haiti 
 TN20 , Seymour Air Park , United States 
 KAIO , Atlantic Municipal , United States 
 NONE , Dunsmuir Municipal-Mott , United States 
 SFZ , North Central State Airport , United States 
ISU,Clearwater Hill Municipal, United States 
 KO61 , Cameron Air park , United States 
 BFL , Meadows Field , United States 
 NONE , Vicksburg Farms Airstrip , United States 
 K39 , St. Clair Regional , United States 
 F45 , North Palm Beach County Airpor , United States 
 KEWK , Newton City/County Airport , United States 
 56CL , Cyr Ariport , United States 
 ZPH , Zephyrhills Municipal Airport , United States 
 2WN4 , McFaul Airport , United States 
EMX,Silver Creek Regional, United States 
 O85 , Benton Field , United States 
 KPMP , Pompano Beach Airpark , United States 
 4W6 , Blaine Municipal , United States 
 VGC , Hamilton Municipal airport , United States 
EAR,Silver Heights Airfield, United States 
BQI,Silver Field International, United States 
 WV12 , Mallory , United States 
DIP,Sunset Field Regional, United States 
KVL,Oak Heights Airport, United States 
 HEF , Manassas Regional , United States 
 SGU , St. George Municipal , United States 
MOT,Mountain Bay Airfield, United States 
 PHJR , Kalaeloa Airport (John Rogers) , United States 
 36U , Heber City Municipal , United States 
CII,Sunset Valley Municipal, United States 
 61S , Cottage Grove State , United States 
EFU,River Bluff Airport, United States 
 KCGE , Cambridge-Dorchester Airport , United States 
GMM,Redwood Valley Regional, United States 
CZR,River Springs Municipal, France 
CKW,Silver Heights Municipal, United States 
 PUB , Peublo Memorial , United States 
 KANE , Anoka County-Blane Airport , United States 
 S31 , Lopez Island Airport , United States 
 T88 , Colorado City Airport , United States 
 W29 , Bay Bridge , United States 
FXF,Silver Creek Airport, United States 
TOY,Clearwater Bay International, United States 
 FOK , Francis S. Gabreski , United States 
GVO,Sky Springs Regional, United States 
MKX,Mountain Point Airport, United States 
 HOU , WILLIAM P HOBBY , United States 
MRX,Sunset Creek International, Venezuela 
BNR,Silver Bluff International, United States 
 FL17 , Ruckel Airport , United States 
RAK,Sunset Hill Municipal, United States 
 LL53 , Plato Center Airport , United States 
 K8A6 , Wilgrove Air Park , United States 
 1CO8 , EVERITT , United States 
 LBB , LUBBOCK INTL , United States 
XQK,Silver Bluff Municipal, United States 
UDY,Sky Hill Airport, United States 
 3GA0 , GRANT , United States 
ZBD,Lake Harbor Regional, Germany 
MWE,Redwood Field Airport, Japan 
 FD38 , Wellington Aero Club , United States 
 3TN9 , Holenthawall Airport , United States 
 27W , Lake Wenatchee State Airport , United States 
 OMN , Ormond Beach Municipal Airport , United States 
 3N6 , Old Bridge Airport , United States 
 CD32 , Castle Pines , United States 
IMU,Redwood Harbor Airfield, United States 
TXO,Oak Harbor International, United States 
RYP,Green Bluff Regional, United States 
 INT , Smith Reynolds Airport , United States 
IDD,Green Springs Airport, United States 
 CLW , Clearwater Airpark , United States 
ADK,Sunset Point Airfield, United States 
RRE,Clearwater Springs Airfield, United States 
ZIY,Redwood Springs International, United States 
LAJ,Clearwater Creek International, United States 
PFI,Silver Bluff International, United States 
 42J , Keystone Heights , United States 
 36U , Heber City Municipal Airport , United States 
JMN,Sunset Harbor Municipal, United States 
