FlightNumber,PurposeofFlight,From,To,DepartureTime,ArrivalTime,FlyingHours,Date,PilotID,AircraftID,AccidentNumber,Fuel_consumption
20071219X01973 , Positioning ,Atlanta,Miami,12/5/2007 3:41,12/5/2007 4:41,1, 12/05/2007 ,109,109, SEA08LA043 ,2910
20071211X01927 , Instructional ,Seattle,Miami,12/4/2007 3:41,12/4/2007 4:41,1, 12/04/2007 ,110,110, LAX08IA032 ,4061
20071228X02002 , Instructional ,Atlanta,Boston,12/4/2007 3:41,12/4/2007 4:41,1, 12/04/2007 ,111,111, NYC08LA052 ,1226
20071227X02000 , Personal ,Seattle,Atlanta,12/4/2007 3:41,12/4/2007 5:41,2, 12/04/2007 ,112,112, NYC08FA051 ,3233
20071212X01931 , Personal ,Boston,Denver,12/3/2007 3:41,12/3/2007 8:41,5, 12/03/2007 ,113,113, DFW08CA042 ,1635
20071213X01937 ,  ,Denver,Seattle,12/3/2007 3:41,12/3/2007 6:41,3, 12/03/2007 ,114,114, ANC08FA025 ,4014
20080124X00102 ,  ,Boston,Denver,12/2/2007 3:41,12/2/2007 9:41,6, 12/02/2007 ,115,115, OPS08IA002A ,2611
20080124X00102 ,  ,Atlanta,Seattle,12/2/2007 3:41,12/2/2007 5:41,2, 12/02/2007 ,116,116, OPS08IA002B ,4214
20071206X01909 , Personal ,Boston,Denver,12/2/2007 3:41,12/2/2007 7:41,4, 12/02/2007 ,117,117, SEA08LA041 ,2478
20071206X01905 , Personal ,Atlanta,Miami,12/1/2007 3:41,12/1/2007 5:41,2, 12/01/2007 ,118,118, MIA08LA023 ,4545
20081003X17816 , Instructional ,Atlanta,Miami,12/1/2007 3:41,12/1/2007 7:41,4, 12/01/2007 ,119,119, NYC08LA049 ,3152
20080116X00057 , Instructional ,Boston,Seattle,12/1/2007 3:41,12/1/2007 7:41,4, 12/01/2007 ,120,120, ANC08LA023 ,2714
20071207X01912 , Personal ,Miami,Seattle,12/1/2007 3:41,12/1/2007 7:41,4, 12/01/2007 ,121,121, MIA08LA024 ,2690
20071227X01999 ,  ,Miami,Atlanta,12/1/2007 3:41,12/1/2007 4:41,1, 12/01/2007 ,122,122, NYC08LA050 ,1254
20071212X01930 ,  ,Atlanta,Denver,11/30/2007 3:41,11/30/2007 9:41,6, 11/30/2007 ,123,123, DCA08RA015 ,4273
20080111X00040 , Instructional ,Denver,Seattle,11/30/2007 3:41,11/30/2007 5:41,2, 11/30/2007 ,124,124, DFW08CA044 ,1505
20080116X00061 , Personal ,Seattle,Miami,11/29/2007 3:41,11/29/2007 8:41,5, 11/29/2007 ,125,125, ANC08CA024 ,2818
20071231X02009 , Personal ,Miami,Boston,11/29/2007 3:41,11/29/2007 8:41,5, 11/29/2007 ,126,126, SEA08CA049 ,2342
20071212X01933 , Personal ,Denver,Atlanta,11/29/2007 3:41,11/29/2007 5:41,2, 11/29/2007 ,127,127, CHI08LA046 ,1400
20071204X01896 , Ferry ,Seattle,Atlanta,11/28/2007 3:41,11/28/2007 5:41,2, 11/28/2007 ,128,128, DEN08WA037 ,3490
20080109X00035 , Personal ,Miami,Atlanta,11/28/2007 3:41,11/28/2007 6:41,3, 11/28/2007 ,129,129, NYC08CA048 ,1184
20071207X01913 , Personal ,Boston,Miami,11/28/2007 3:41,11/28/2007 9:41,6, 11/28/2007 ,130,130, MIA08FA021 ,955
20071211X01928 , Personal ,Seattle,Atlanta,11/28/2007 3:41,11/28/2007 7:41,4, 11/28/2007 ,131,131, DFW08CA041 ,753
20071212X01936 , Personal ,Miami,Denver,11/28/2007 3:41,11/28/2007 5:41,2, 11/28/2007 ,132,132, ANC08CA022 ,1314
20080128X00109 , Instructional ,Denver,Boston,11/28/2007 3:41,11/28/2007 7:41,4, 11/28/2007 ,133,133, MIA08CA022 ,2426
20071203X01887 , Personal ,Boston,Atlanta,11/28/2007 3:41,11/28/2007 5:41,2, 11/28/2007 ,134,134, DFW08FA040 ,1649
20071203X01889 , Aerial Observation ,Boston,Miami,11/28/2007 3:41,11/28/2007 7:41,4, 11/28/2007 ,135,135, DEN08FA036 ,953
20071205X01904 , Positioning ,Atlanta,Seattle,11/28/2007 3:41,11/28/2007 7:41,4, 11/28/2007 ,136,136, DEN08CA035 ,3653
20071130X01879 , Personal ,Denver,Seattle,11/27/2007 3:41,11/27/2007 9:41,6, 11/27/2007 ,137,137, DFW08FA038 ,3676
20071129X01876 , Personal ,Miami,Atlanta,11/27/2007 3:41,11/27/2007 9:41,6, 11/27/2007 ,138,138, CHI08LA041 ,4640
20080102X00005 , Personal ,Miami,Denver,11/27/2007 3:41,11/27/2007 5:41,2, 11/27/2007 ,139,139, DEN08CA034 ,4785
20080114X00043 , Instructional ,Atlanta,Seattle,11/26/2007 3:41,11/26/2007 8:41,5, 11/26/2007 ,140,140, NYC08CA047 ,3941
20071227X01995 , Unknown ,Denver,Atlanta,11/26/2007 3:41,11/26/2007 5:41,2, 11/26/2007 ,141,141, NYC08WA045 ,4762
20071221X01985 , Positioning ,Atlanta,Miami,11/26/2007 3:41,11/26/2007 7:41,4, 11/26/2007 ,142,142, NYC08FA046 ,1736
20071130X01880 , Personal ,Denver,Boston,11/25/2007 3:41,11/25/2007 6:41,3, 11/25/2007 ,143,143, CHI08FA039 ,528
20080214X00190 , Personal ,Seattle,Denver,11/25/2007 3:41,11/25/2007 8:41,5, 11/25/2007 ,144,144, MIA08CA019 ,2906
20071204X01893 ,  ,Atlanta,Denver,11/25/2007 3:41,11/25/2007 5:41,2, 11/25/2007 ,145,145, DEN08IA033 ,2852
20071209X01917 , Personal ,Miami,Boston,11/25/2007 3:41,11/25/2007 7:41,4, 11/25/2007 ,146,146, NYC08LA044 ,4753
20071210X01921 , Personal ,Atlanta,Miami,11/24/2007 3:41,11/24/2007 7:41,4, 11/24/2007 ,147,147, SEA08CA039 ,3404
20071218X01971 , Instructional ,Atlanta,Denver,11/24/2007 3:41,11/24/2007 8:41,5, 11/24/2007 ,148,148, LAX08CA031 ,867
20080210X00165 , Personal ,Denver,Miami,11/24/2007 3:41,11/24/2007 7:41,4, 11/24/2007 ,149,149, NYC08LA043 ,1499
20071126X01838 , Personal ,Atlanta,Denver,11/23/2007 3:41,11/23/2007 6:41,3, 11/23/2007 ,150,150, DFW08FA036 ,2096
20071130X01886 , Aerial Application ,Atlanta,Miami,11/23/2007 3:41,11/23/2007 7:41,4, 11/23/2007 ,151,151, SEA08LA038 ,2658
20071130X01883 , Personal ,Seattle,Miami,11/22/2007 3:41,11/22/2007 4:41,1, 11/22/2007 ,152,152, SEA08FA036 ,2345
20071221X01981 ,  ,Boston,Seattle,11/22/2007 3:41,11/22/2007 5:41,2, 11/22/2007 ,153,153, ENG08RA005 ,1851
20071209X01916 , Personal ,Atlanta,Boston,11/21/2007 3:41,11/21/2007 4:41,1, 11/21/2007 ,154,154, NYC08CA042 ,3756
20071203X01890 , Personal ,Boston,Denver,11/21/2007 3:41,11/21/2007 5:41,2, 11/21/2007 ,155,155, SEA08CA037 ,4339
20071221X01984 , Personal ,Boston,Miami,11/21/2007 3:41,11/21/2007 5:41,2, 11/21/2007 ,156,156, NYC08FA041 ,1519
20071210X01918 ,  ,Atlanta,Miami,11/21/2007 3:41,11/21/2007 7:41,4, 11/21/2007 ,157,157, DCA08WA016 ,4864
20071130X01884 , Instructional ,Boston,Seattle,11/21/2007 3:41,11/21/2007 7:41,4, 11/21/2007 ,158,158, SEA08LA035 ,3461
20071206X01908 , Personal ,Boston,Miami,11/21/2007 3:41,11/21/2007 4:41,1, 11/21/2007 ,159,159, SEA08LA040 ,3142
20071130X01882 , Personal ,Miami,Atlanta,11/20/2007 3:41,11/20/2007 9:41,6, 11/20/2007 ,160,160, SEA08LA031A ,4240
20071130X01882 , Personal ,Miami,Atlanta,11/20/2007 3:41,11/20/2007 7:41,4, 11/20/2007 ,161,161, SEA08LA031B ,4273
20071129X01870 , Personal ,Atlanta,Boston,11/20/2007 3:41,11/20/2007 6:41,3, 11/20/2007 ,162,162, NYC08FA039 ,2785
20071210X01920 , Instructional ,Miami,Seattle,11/20/2007 3:41,11/20/2007 8:41,5, 11/20/2007 ,163,163, SEA08CA032 ,4977
20071226X01989 , Aerial Application ,Denver,Seattle,11/19/2007 3:41,11/19/2007 4:41,1, 11/19/2007 ,164,164, SEA08CA034 ,3079
20071207X01914 , Personal ,Denver,Seattle,11/18/2007 3:41,11/18/2007 5:41,2, 11/18/2007 ,165,165, MIA08CA018 ,4514
20080116X00060 , Personal ,Miami,Boston,11/18/2007 3:41,11/18/2007 9:41,6, 11/18/2007 ,166,166, ANC08CA020 ,3411
20071226X01991 , Instructional ,Miami,Atlanta,11/17/2007 3:41,11/17/2007 8:41,5, 11/17/2007 ,167,167, SEA08CA030 ,1102
20080128X00113 , Personal ,Boston,Atlanta,11/17/2007 3:41,11/17/2007 8:41,5, 11/17/2007 ,168,168, DFW08CA032 ,4936
20080512X00651 , Personal ,Denver,Miami,11/17/2007 3:41,11/17/2007 8:41,5, 11/17/2007 ,169,169, LAX08WA131 ,2087
20080411X00459 , Instructional ,Seattle,Boston,11/17/2007 3:41,11/17/2007 6:41,3, 11/17/2007 ,170,170, NYC08CA037 ,2326
20071231X02010 ,  ,Seattle,Miami,11/17/2007 3:41,11/17/2007 7:41,4, 11/17/2007 ,171,171, ENG08IA002 ,1720
20081219X65252 ,  ,Boston,Denver,11/16/2007 3:41,11/16/2007 7:41,4, 11/16/2007 ,172,172, ENG08RA003 ,1149
20071119X01813 , Personal ,Denver,Atlanta,11/16/2007 3:41,11/16/2007 4:41,1, 11/16/2007 ,173,173, CHI08LA037 ,656
20071120X01818 , Personal ,Boston,Miami,11/16/2007 3:41,11/16/2007 9:41,6, 11/16/2007 ,174,174, DEN08LA032 ,3332
20071121X01828 , Personal ,Atlanta,Miami,11/16/2007 3:41,11/16/2007 4:41,1, 11/16/2007 ,175,175, SEA08LA028 ,3745
20080122X00080 , Instructional ,Seattle,Atlanta,11/16/2007 3:41,11/16/2007 5:41,2, 11/16/2007 ,176,176, NYC08CA040 ,807
20071226X01988 ,  ,Denver,Atlanta,11/15/2007 3:41,11/15/2007 6:41,3, 11/15/2007 ,177,177, SEA08CA027 ,1223
20080311X00295 ,  ,Miami,Atlanta,11/15/2007 3:41,11/15/2007 9:41,6, 11/15/2007 ,178,178, ANC08WA021 ,4253
20071119X01807 , Instructional ,Boston,Denver,11/15/2007 3:41,11/15/2007 8:41,5, 11/15/2007 ,179,179, DEN08LA031 ,936
20071119X01812 , Instructional ,Miami,Denver,11/15/2007 3:41,11/15/2007 5:41,2, 11/15/2007 ,180,180, DFW08FA031 ,2239
20071212X01934 ,  ,Miami,Seattle,11/14/2007 3:41,11/14/2007 7:41,4, 11/14/2007 ,181,181, CHI08LA044 ,3248
20071126X01844 , Personal ,Denver,Atlanta,11/14/2007 3:41,11/14/2007 5:41,2, 11/14/2007 ,182,182, CHI08LA040 ,3258
20071206X01906 , Personal ,Boston,Seattle,11/14/2007 3:41,11/14/2007 5:41,2, 11/14/2007 ,183,183, SEA08LA033 ,1450
20071206X01907 , Instructional ,Seattle,Denver,11/14/2007 3:41,11/14/2007 5:41,2, 11/14/2007 ,184,184, SEA08LA029 ,3488
20080304X00262 , Instructional ,Boston,Miami,11/14/2007 3:41,11/14/2007 6:41,3, 11/14/2007 ,185,185, MIA08CA017 ,4530
20080331X00401 , Personal ,Miami,Atlanta,11/14/2007 3:41,11/14/2007 4:41,1, 11/14/2007 ,186,186, ANC08CA019 ,2026
20071204X01894 , Personal ,Atlanta,Denver,11/13/2007 3:41,11/13/2007 7:41,4, 11/13/2007 ,187,187, DEN08LA038 ,3496
20080515X00683 , Personal ,Boston,Seattle,11/13/2007 3:41,11/13/2007 9:41,6, 11/13/2007 ,188,188, NYC08CA036 ,4855
