AccidentNumber,Date,WeatherCondition,InjurySeverity,AircraftDamage,LocationID
 ANC08TA028 , 12/20/2007 , VMC , Non-Fatal , Substantial ,45
 LAX08CA040 , 12/20/2007 , VMC , Non-Fatal , Substantial ,46
 DFW08CA047 , 12/20/2007 , VMC , Non-Fatal , Substantial ,47
 MIA08WA033 , 12/20/2007 , VMC , Non-Fatal , Substantial ,48
 CHI08FA053 , 12/20/2007 , IMC , Fatal(3) , Destroyed ,49
 MIA08CA031 , 12/19/2007 , VMC , Non-Fatal , Substantial ,50
 NYC08WA065 , 12/19/2007 , VMC , Fatal(1) , Substantial ,51
 MIA08CA046 , 12/19/2007 , VMC , Non-Fatal , Substantial ,52
 LAX08CA039 , 12/18/2007 , VMC , Non-Fatal , Substantial ,53
 MIA08CA030 , 12/18/2007 , VMC , Non-Fatal , Substantial ,54
 ANC08LA027 , 12/18/2007 , VMC , Non-Fatal , Substantial ,55
 DCA08IA019 , 12/17/2007 , VMC , Incident , Minor ,56
 ENG08WA006 , 12/17/2007 , VMC , Incident ,  ,57
 DEN08WA042 , 12/17/2007 , IMC , Fatal(1) , Destroyed ,58
 ANC08IA026 , 12/17/2007 , VMC , Incident ,  ,59
 NYC08WA329 , 12/17/2007 , VMC , Non-Fatal , Substantial ,60
 SEA08LA048 , 12/16/2007 , VMC , Non-Fatal , Substantial ,61
 CHI08LA051 , 12/16/2007 , VMC , Non-Fatal , Substantial ,62
 DCA08FA018 , 12/16/2007 , IMC , Non-Fatal , Substantial ,63
 DCA08WA020 , 12/16/2007 , IMC , Incident , Minor ,64
 DEN08LA041 , 12/15/2007 , VMC , Non-Fatal , Destroyed ,65
 DEN08LA040 , 12/15/2007 , VMC , Fatal(1) , Destroyed ,66
 DFW08IA045 , 12/15/2007 , VMC , Incident ,  ,67
 CHI08LA052 , 12/14/2007 , VMC , Non-Fatal , Destroyed ,68
 LAX08IA042 , 12/14/2007 , VMC , Incident ,  ,69
 NYC08LA062A , 12/14/2007 , IMC , Non-Fatal , Substantial ,70
 CHI08FA050 , 12/14/2007 , VMC , Non-Fatal , Minor ,71
 SEA08CA047 , 12/14/2007 , VMC , Non-Fatal , Substantial ,72
 NYC08LA062B , 12/14/2007 , IMC , Non-Fatal , Substantial ,73
 MIA08LA029 , 12/13/2007 , VMC , Non-Fatal , Substantial ,74
 NYC08CA072 , 12/13/2007 , VMC , Non-Fatal , Substantial ,75
 NYC08CA063 , 12/13/2007 , VMC , Non-Fatal , Substantial ,76
 NYC08WA064 , 12/13/2007 , VMC , Non-Fatal , Destroyed ,77
 NYC08LA061 , 12/13/2007 , VMC , Non-Fatal , Substantial ,78
 NYC08CA073 , 12/12/2007 , VMC , Non-Fatal , Substantial ,79
 NYC08LA059 , 12/12/2007 , VMC , Fatal(1) , Substantial ,80
 NYC08LA060 , 12/12/2007 , VMC , Non-Fatal , Substantial ,81
 NYC08WA076 , 12/12/2007 , VMC , Non-Fatal , Substantial ,82
 SEA08FA045 , 12/11/2007 , VMC , Fatal(3) , Destroyed ,83
 CHI08CA048 , 12/11/2007 , IMC , Non-Fatal , Substantial ,84
 SEA08FA042 , 12/10/2007 , IMC , Fatal(2) , Destroyed ,85
 MIA08CA028 , 12/09/2007 , VMC , Non-Fatal , Destroyed ,86
 NYC08WA057 , 12/09/2007 , VMC , Fatal(5) , Substantial ,87
 NYC08FA056 , 12/09/2007 , IMC , Fatal(1) , Substantial ,88
 MIA08WA060 , 12/09/2007 , VMC , Fatal(2) , Destroyed ,89
 NYC08FA054B , 12/08/2007 , VMC , Fatal(2) , Destroyed ,90
 MIA08FA027 , 12/08/2007 , IMC , Fatal(2) , Substantial ,91
 CHI08CA047 , 12/08/2007 , VMC , Non-Fatal , Substantial ,92
 CHI08CA049 , 12/08/2007 , VMC , Non-Fatal , Substantial ,93
 NYC08CA058 , 12/08/2007 , VMC , Non-Fatal , Substantial ,94
 SEA08CA044 , 12/08/2007 , VMC , Non-Fatal , Substantial ,95
 NYC08CA055 , 12/08/2007 , VMC , Non-Fatal , Substantial ,96
 NYC08FA054A , 12/08/2007 , VMC , Fatal(2) , Destroyed ,97
 LAX08CA036 , 12/07/2007 , IMC , Non-Fatal , Substantial ,98
 MIA08FA026 , 12/07/2007 , VMC , Fatal(2) , Destroyed ,99
 SEA08FA046 , 12/06/2007 , VMC , Fatal(1) , Substantial ,100
 MIA08CA025 , 12/06/2007 , VMC , Non-Fatal , Substantial ,101
 LAX08CA034 , 12/06/2007 , VMC , Non-Fatal , Destroyed ,102
 LAX08CA033 , 12/06/2007 , VMC , Non-Fatal , Substantial ,103
 LAX08CA035 , 12/06/2007 , VMC , Non-Fatal , Substantial ,104
 DFW08WA043 , 12/06/2007 , VMC , Fatal(1) , Destroyed ,105
 CHI08FA045 , 12/05/2007 , IMC , Fatal(2) , Destroyed ,106
 NYC08FA053 , 12/05/2007 , VMC , Fatal(1) , Substantial ,107
 CHI08CA020 , 12/05/2007 , VMC , Non-Fatal , Substantial ,108
 SEA08LA043 , 12/05/2007 , VMC , Non-Fatal , Substantial ,109
 LAX08IA032 , 12/04/2007 , VMC , Incident ,  ,110
 NYC08LA052 , 12/04/2007 , VMC , Non-Fatal , Substantial ,111
 NYC08FA051 , 12/04/2007 , VMC , Fatal(1) , Destroyed ,112
 DFW08CA042 , 12/03/2007 , VMC , Non-Fatal , Substantial ,113
 ANC08FA025 , 12/03/2007 , IMC , Fatal(4) , Substantial ,114
 OPS08IA002A , 12/02/2007 , VMC , Incident ,  ,115
 OPS08IA002B , 12/02/2007 , VMC , Incident ,  ,116
 SEA08LA041 , 12/02/2007 , VMC , Non-Fatal , Substantial ,117
 MIA08LA023 , 12/01/2007 , VMC , Non-Fatal , Substantial ,118
 NYC08LA049 , 12/01/2007 , VMC , Non-Fatal , Substantial ,119
 ANC08LA023 , 12/01/2007 , VMC , Non-Fatal , Substantial ,120
 MIA08LA024 , 12/01/2007 , VMC , Non-Fatal , Destroyed ,121
 NYC08LA050 , 12/01/2007 , VMC , Non-Fatal , Substantial ,122
 DCA08RA015 , 11/30/2007 , VMC , Fatal(57) , Destroyed ,123
 DFW08CA044 , 11/30/2007 , VMC , Non-Fatal , Substantial ,124
 ANC08CA024 , 11/29/2007 , VMC , Non-Fatal , Substantial ,125
 SEA08CA049 , 11/29/2007 , VMC , Non-Fatal , Substantial ,126
 CHI08LA046 , 11/29/2007 , VMC , Fatal(1) , Destroyed ,127
 DEN08WA037 , 11/28/2007 , IMC , Fatal(1) , Substantial ,128
 NYC08CA048 , 11/28/2007 , VMC , Non-Fatal , Substantial ,129
 MIA08FA021 , 11/28/2007 , IMC , Fatal(1) , Substantial ,130
 DFW08CA041 , 11/28/2007 , VMC , Non-Fatal , Substantial ,131
 ANC08CA022 , 11/28/2007 , IMC , Non-Fatal , Substantial ,132
 MIA08CA022 , 11/28/2007 , VMC , Non-Fatal , Substantial ,133
 DFW08FA040 , 11/28/2007 , VMC , Fatal(2) , Substantial ,134
 DEN08FA036 , 11/28/2007 , VMC , Fatal(1) , Destroyed ,135
 DEN08CA035 , 11/28/2007 , VMC , Non-Fatal , Substantial ,136
 DFW08FA038 , 11/27/2007 , VMC , Fatal(2) , Destroyed ,137
 CHI08LA041 , 11/27/2007 , VMC , Fatal(1) , Substantial ,138
 DEN08CA034 , 11/27/2007 , VMC , Non-Fatal , Substantial ,139
 NYC08CA047 , 11/26/2007 , VMC , Non-Fatal , Substantial ,140
 NYC08WA045 , 11/26/2007 , IMC , Non-Fatal , Destroyed ,141
 NYC08FA046 , 11/26/2007 , IMC , Fatal(1) , Substantial ,142
 CHI08FA039 , 11/25/2007 , VMC , Fatal(4) , Destroyed ,143
 MIA08CA019 , 11/25/2007 , VMC , Non-Fatal , Substantial ,144
 DEN08IA033 , 11/25/2007 , VMC , Incident , Minor ,145
 NYC08LA044 , 11/25/2007 , VMC , Non-Fatal , Substantial ,146
 SEA08CA039 , 11/24/2007 , VMC , Non-Fatal , Substantial ,147
 LAX08CA031 , 11/24/2007 , VMC , Non-Fatal , Substantial ,148
 NYC08LA043 , 11/24/2007 , VMC , Non-Fatal , Substantial ,149
 DFW08FA036 , 11/23/2007 , VMC , Fatal(1) , Destroyed ,150
 SEA08LA038 , 11/23/2007 , VMC , Non-Fatal , Substantial ,151
 SEA08FA036 , 11/22/2007 , VMC , Fatal(2) , Substantial ,152
 ENG08RA005 , 11/22/2007 , VMC , Incident , Minor ,153
 NYC08CA042 , 11/21/2007 , VMC , Non-Fatal , Substantial ,154
 SEA08CA037 , 11/21/2007 , VMC , Non-Fatal , Substantial ,155
 NYC08FA041 , 11/21/2007 , IMC , Fatal(1) , Substantial ,156
 DCA08WA016 , 11/21/2007 , VMC , Incident , Minor ,157
 SEA08LA035 , 11/21/2007 , VMC , Non-Fatal , Substantial ,158
 SEA08LA040 , 11/21/2007 , VMC , Non-Fatal , Substantial ,159
 SEA08LA031A , 11/20/2007 , VMC , Non-Fatal , Substantial ,160
 SEA08LA031B , 11/20/2007 , VMC , Non-Fatal , Substantial ,161
 NYC08FA039 , 11/20/2007 , IMC , Fatal(1) , Destroyed ,162
 SEA08CA032 , 11/20/2007 , VMC , Non-Fatal , Substantial ,163
 SEA08CA034 , 11/19/2007 , VMC , Non-Fatal , Substantial ,164
 MIA08CA018 , 11/18/2007 , VMC , Non-Fatal , Substantial ,165
 ANC08CA020 , 11/18/2007 , VMC , Non-Fatal , Substantial ,166
 SEA08CA030 , 11/17/2007 , VMC , Non-Fatal , Substantial ,167
 DFW08CA032 , 11/17/2007 , VMC , Non-Fatal , Substantial ,168
 LAX08WA131 , 11/17/2007 , VMC , Fatal(4) , Destroyed ,169
 NYC08CA037 , 11/17/2007 , VMC , Non-Fatal , Substantial ,170
 ENG08IA002 , 11/17/2007 , VMC , Incident , Minor ,171
 ENG08RA003 , 11/16/2007 , VMC , Incident , Minor ,172
 CHI08LA037 , 11/16/2007 , VMC , Fatal(2) , Substantial ,173
 DEN08LA032 , 11/16/2007 , VMC , Non-Fatal , Substantial ,174
 SEA08LA028 , 11/16/2007 , VMC , Non-Fatal , Substantial ,175
 NYC08CA040 , 11/16/2007 , VMC , Non-Fatal , Substantial ,176
 SEA08CA027 , 11/15/2007 , VMC , Non-Fatal , Substantial ,177
 ANC08WA021 , 11/15/2007 , VMC , Fatal(2) , Destroyed ,178
 DEN08LA031 , 11/15/2007 , VMC , Non-Fatal , Substantial ,179
 DFW08FA031 , 11/15/2007 , VMC , Fatal(3) , Destroyed ,180
 CHI08LA044 , 11/14/2007 , VMC , Non-Fatal , Substantial ,181
 CHI08LA040 , 11/14/2007 , VMC , Non-Fatal , Substantial ,182
 SEA08LA033 , 11/14/2007 , VMC , Non-Fatal , Substantial ,183
 SEA08LA029 , 11/14/2007 , VMC , Non-Fatal , Substantial ,184
 MIA08CA017 , 11/14/2007 , VMC , Non-Fatal , Substantial ,185
 ANC08CA019 , 11/14/2007 , VMC , Non-Fatal , Substantial ,186
 DEN08LA038 , 11/13/2007 , VMC , Non-Fatal , Substantial ,187
 NYC08CA036 , 11/13/2007 , VMC , Non-Fatal , Substantial ,188
 NYC08CA035 , 11/12/2007 , VMC , Non-Fatal , Substantial ,189
 SEA08LA025 , 11/12/2007 , VMC , Non-Fatal , Substantial ,190
 SEA08CA026 , 11/12/2007 , VMC , Non-Fatal , Substantial ,191
 LAX08CA030 , 11/11/2007 , VMC , Non-Fatal , Substantial ,192
 CHI08CA042 , 11/11/2007 , VMC , Non-Fatal , Substantial ,193
 NYC08CA032 , 11/11/2007 , VMC , Non-Fatal , Destroyed ,194
 NYC08CA031 , 11/11/2007 , VMC , Non-Fatal , Substantial ,195
 SEA08LA024 , 11/11/2007 , VMC , Non-Fatal , Substantial ,196
 DFW08LA030 , 11/11/2007 , VMC , Non-Fatal , Substantial ,197
 SEA08LA066 , 11/11/2007 , VMC , Non-Fatal , Substantial ,198
 DFW08LA029 , 11/10/2007 , VMC , Non-Fatal , Substantial ,199
 NYC08LA034 , 11/10/2007 , VMC , Non-Fatal , Substantial ,200
 NYC08LA029 , 11/10/2007 , VMC , Non-Fatal , Substantial ,201
 LAX08CA014 , 11/10/2007 , IMC , Non-Fatal , Substantial ,202
 NYC08CA030 , 11/10/2007 , VMC , Non-Fatal , Substantial ,203
 CHI08CA043 , 11/09/2007 , VMC , Non-Fatal , Substantial ,204
 CHI08CA038 , 11/09/2007 , VMC , Non-Fatal , Substantial ,205
 ERA13IA006 , 11/09/2007 , IMC , Incident ,  ,206
 ANC08LA018 , 11/09/2007 , VMC , Non-Fatal , Substantial ,207
 MIA08CA016 , 11/09/2007 , VMC , Non-Fatal , Substantial ,208
 LAX08FA028 , 11/09/2007 , VMC , Fatal(3) , Destroyed ,209
 NYC08LA028 , 11/09/2007 , VMC , Fatal(1) ,  ,210
 DFW08CA028 , 11/08/2007 , VMC , Non-Fatal , Substantial ,211
 SEA08FA023 , 11/08/2007 , VMC , Fatal(2) , Destroyed ,212
 SEA08FA022 , 11/08/2007 , VMC , Fatal(1) , Substantial ,213
 LAX08LA027 , 11/08/2007 , VMC , Non-Fatal , Substantial ,214
 DCA08WA008 , 11/07/2007 , VMC , Non-Fatal , Substantial ,215
 DEN08WA029 , 11/07/2007 , VMC , Fatal(1) , Destroyed ,216
 MIA08LA014B , 11/06/2007 , VMC , Non-Fatal , Substantial ,217
 MIA08LA014A , 11/06/2007 , VMC , Non-Fatal , Substantial ,218
 SEA08LA021 , 11/06/2007 , IMC , Fatal(3) , Destroyed ,219
 LAX08FA026 , 11/06/2007 , IMC , Fatal(2) , Destroyed ,220
 SEA08LA020 , 11/06/2007 , VMC , Non-Fatal , Substantial ,221
 NYC08LA033 , 11/06/2007 , VMC , Non-Fatal , Substantial ,222
 DEN08LA027 , 11/06/2007 , VMC , Non-Fatal , Substantial ,223
 DFW08LA025 , 11/05/2007 , VMC , Non-Fatal , Substantial ,224
 CEN09RA185 , 11/05/2007 , VMC , Incident ,  ,225
 NYC08LA027 , 11/05/2007 , VMC , Non-Fatal , Substantial ,226
 DFW08WA027 , 11/05/2007 , VMC , Non-Fatal , Destroyed ,227
 ANC08CA017 , 11/05/2007 , VMC , Non-Fatal , Substantial ,228
 DEN08CA025 , 11/05/2007 , VMC , Non-Fatal , Substantial ,229
 NYC08FA026 , 11/05/2007 , VMC , Fatal(3) , Destroyed ,230
 NYC08CA025 , 11/04/2007 , VMC , Non-Fatal , Substantial ,231
 CHI08CA034 , 11/04/2007 , VMC , Non-Fatal , Substantial ,232
 DEN08CA026 , 11/04/2007 , VMC , Non-Fatal , Substantial ,233
 MIA08RA013 , 11/04/2007 , VMC , Fatal(8) , Destroyed ,234
 MIA08CA012 , 11/04/2007 , VMC , Non-Fatal , Substantial ,235
 NYC08LA024 , 11/04/2007 , VMC , Fatal(2) , Destroyed ,236
 DFW08CA024 , 11/03/2007 , VMC , Non-Fatal , Substantial ,237
 CHI08FA033 , 11/03/2007 , VMC , Fatal(1) , Substantial ,238
 SEA08CA019 , 11/03/2007 , VMC , Non-Fatal , Substantial ,239
 DFW08CA023 , 11/03/2007 , VMC , Non-Fatal , Substantial ,240
 MIA08CA011 , 11/02/2007 , VMC , Non-Fatal , Substantial ,241
 DFW08CA022 , 11/02/2007 , VMC , Non-Fatal , Substantial ,242
 LAX08LA025 , 11/02/2007 , VMC , Non-Fatal , Substantial ,243
 DEN08IA022 , 11/02/2007 , VMC , Incident , Minor ,244
 SEA08LA017 , 11/02/2007 , VMC , Fatal(1) , Substantial ,245
 DEN08CA023 , 11/02/2007 , VMC , Non-Fatal , Substantial ,246
 NYC08FA023 , 11/02/2007 , VMC , Fatal(1) , Destroyed ,247
 CHI08LA031 , 11/01/2007 , VMC , Fatal(1) , Destroyed ,248
 MIA08FA010 , 11/01/2007 , VMC , Fatal(1) , Substantial ,249
 CHI08CA032 , 11/01/2007 , VMC , Non-Fatal , Substantial ,250
 CHI08CA035 , 11/01/2007 , VMC , Non-Fatal , Substantial ,251
 DFW08LA035 , 11/01/2007 , VMC , Non-Fatal , Substantial ,252
 MIA08WA020 , 11/01/2007 , VMC , Fatal(3) , Destroyed ,253
 SEA08CA016 , 10/31/2007 , VMC , Non-Fatal , Substantial ,254
 DFW08WA026 , 10/31/2007 , VMC , Non-Fatal , Substantial ,255
 SEA08CA018 , 10/31/2007 , VMC , Non-Fatal , Substantial ,256
 SEA08LA015A , 10/30/2007 , VMC , Non-Fatal , Substantial ,257
 SEA08LA015B , 10/30/2007 , VMC , Non-Fatal , Minor ,258
 LAX08CA037 , 10/30/2007 , VMC , Non-Fatal , Substantial ,259
 LAX08CA022 , 10/29/2007 , VMC , Non-Fatal , Substantial ,260
 CHI08CA029 , 10/29/2007 , VMC , Non-Fatal , Substantial ,261
 DEN08LA028 , 10/29/2007 , VMC , Non-Fatal , Substantial ,262
 SEA08LA014 , 10/29/2007 , VMC , Non-Fatal , Substantial ,263
 CHI08GA028 , 10/29/2007 , VMC , Non-Fatal , Substantial ,264
 ANC08CA011 , 10/29/2007 , VMC , Non-Fatal , Substantial ,265
 ENG08IA001 , 10/28/2007 , VMC , Incident , Minor ,266
 LAX08FA023 , 10/28/2007 , VMC , Fatal(1) , Substantial ,267
 ANC08LA010 , 10/28/2007 , VMC , Non-Fatal , Substantial ,268
 DEN08LA021 , 10/28/2007 , VMC , Non-Fatal , Substantial ,269
 CHI08CA030 , 10/28/2007 , VMC , Non-Fatal , Substantial ,270
 ANC08WA016 , 10/28/2007 , VMC , Fatal(2) , Substantial ,271
 SEA08FA013 , 10/28/2007 , VMC , Fatal(1) , Destroyed ,272
 DCA08WA007 , 10/28/2007 , VMC , Non-Fatal , Substantial ,273
 DFW08WA034 , 10/28/2007 , VMC , Fatal(2) , Destroyed ,274
 ANC08WA013 , 10/27/2007 , VMC , Fatal(2) , Substantial ,275
 NYC08FA022 , 10/27/2007 , IMC , Non-Fatal , Substantial ,276
 SEA08LA012 , 10/27/2007 , VMC , Non-Fatal , Substantial ,277
 NYC08FA020 , 10/27/2007 , VMC , Fatal(2) , Substantial ,278
 NYC08LA021 , 10/26/2007 , VMC , Non-Fatal , Substantial ,279
 LAX08FA001 , 10/26/2007 , VMC , Fatal(2) , Destroyed ,280
 DEN08LA017 , 10/26/2007 , VMC , Fatal(1) , Destroyed ,281
 DFW08CA021 , 10/26/2007 , VMC , Non-Fatal , Substantial ,282
 LAX08CA021 , 10/26/2007 , VMC , Non-Fatal , Substantial ,283
 ANC08WA012 , 10/26/2007 , VMC , Fatal(3) , Substantial ,284
 CHI08CA008 , 10/25/2007 , VMC , Non-Fatal , Substantial ,285
 LAX08CA018 , 10/25/2007 , VMC , Non-Fatal , Substantial ,286
 LAX08CA019 , 10/25/2007 , VMC , Non-Fatal , Substantial ,287
 LAX08CA020 , 10/25/2007 , VMC , Non-Fatal , Substantial ,288
 LAX08LA024 , 10/25/2007 , VMC , Fatal(1) , Substantial ,289
 NYC08LA019 , 10/24/2007 , VMC , Non-Fatal , Substantial ,290
 DFW08LA020 , 10/24/2007 , VMC , Non-Fatal , Substantial ,291
 DEN08CA020 , 10/24/2007 , VMC , Non-Fatal , Substantial ,292
 DEN08CA019 , 10/24/2007 , VMC , Non-Fatal , Substantial ,293
 LAX08CA016 , 10/24/2007 , VMC , Non-Fatal , Substantial ,294
 ANC08CA009 , 10/24/2007 , VMC , Non-Fatal , Substantial ,295
 CHI08FA027 , 10/23/2007 , VMC , Fatal(2) , Substantial ,296
 ANC08CA008 , 10/23/2007 , VMC , Non-Fatal , Substantial ,297
 MIA08LA006 , 10/23/2007 , VMC , Non-Fatal , Substantial ,298
 MIA08LA007 , 10/23/2007 , VMC , Non-Fatal , Substantial ,299
 MIA08WA059 , 10/23/2007 , VMC , Fatal(2) , Substantial ,300
 DCA08WA010 , 10/22/2007 , VMC , Fatal(2) , Destroyed ,301
 MIA08LA005A , 10/21/2007 , VMC , Non-Fatal , Substantial ,302
 MIA08LA005B , 10/21/2007 , VMC , Non-Fatal , Substantial ,303
 MIA08CA008 , 10/21/2007 , VMC , Non-Fatal , Substantial ,304
 DEN08CA016 , 10/21/2007 , VMC , Non-Fatal , Substantial ,305
 ANC08CA005 , 10/20/2007 , VMC , Non-Fatal , Substantial ,306
 NYC08CA017 , 10/20/2007 , VMC , Non-Fatal , Substantial ,307
 NYC08LA018 , 10/20/2007 , VMC , Non-Fatal , Substantial ,308
 DEN08LA015 , 10/20/2007 , VMC , Non-Fatal , Substantial ,309
 LAX08CA015 , 10/20/2007 , VMC , Non-Fatal , Substantial ,310
 DFW08CA033 , 10/20/2007 , VMC , Non-Fatal , Substantial ,311
 CHI08IA022 , 10/20/2007 , VMC , Incident , Minor ,312
 NYC08LA015 , 10/20/2007 , VMC , Non-Fatal , Substantial ,313
 DFW08LA018 , 10/20/2007 , VMC , Non-Fatal , Substantial ,314
 ANC08LA004 , 10/20/2007 , VMC , Non-Fatal , Substantial ,315
 CHI08CA024 , 10/19/2007 , VMC , Non-Fatal , Destroyed ,316
 ANC08WA014 , 10/19/2007 , VMC , Fatal(1) , Destroyed ,317
 CHI08CA023 , 10/19/2007 , VMC , Non-Fatal , Destroyed ,318
 NYC08CA016 , 10/19/2007 , VMC , Non-Fatal , Substantial ,319
 CHI08CA025 , 10/19/2007 , VMC , Non-Fatal , Substantial ,320
 CHI08CA021 , 10/18/2007 , VMC , Non-Fatal , Substantial ,321
 DFW08CA016 , 10/18/2007 , VMC , Non-Fatal , Destroyed ,322
 ANC08LA007 , 10/18/2007 , VMC , Non-Fatal , Substantial ,323
 DFW08LA017 , 10/18/2007 , VMC , Non-Fatal , Substantial ,324
 DFW08LA019 , 10/18/2007 , VMC , Non-Fatal , Substantial ,325
 DEN08WA018 , 10/17/2007 , VMC , Fatal(2) , Destroyed ,326
 DFW08FA015 , 10/17/2007 , VMC , Fatal(5) , Destroyed ,327
 DEN08LA014 , 10/17/2007 , VMC , Non-Fatal , Substantial ,328
 CHI08CA019 , 10/17/2007 , VMC , Non-Fatal , Substantial ,329
 DEN08LA013 , 10/17/2007 , IMC , Non-Fatal , Substantial ,330
 LAX08CA013 , 10/16/2007 , VMC , Non-Fatal , Substantial ,331
 SEA08CA011 , 10/15/2007 , VMC , Non-Fatal , Substantial ,332
 CHI08CA017 , 10/15/2007 , VMC , Non-Fatal ,  ,333
 CHI08CA018 , 10/15/2007 , VMC , Non-Fatal , Substantial ,334
 LAX08CA011 , 10/14/2007 , VMC , Non-Fatal , Substantial ,335
 SEA08CA010 , 10/14/2007 , VMC , Non-Fatal , Substantial ,336
 DEN08LA011 , 10/14/2007 , VMC , Non-Fatal , Substantial ,337
 NYC08FA012 , 10/14/2007 , VMC , Fatal(4) , Destroyed ,338
 DFW08LA012 , 10/13/2007 , VMC , Non-Fatal , Substantial ,339
 DFW08LA013 , 10/13/2007 , VMC , Non-Fatal , Substantial ,340
 CHI08LA016 , 10/13/2007 , VMC , Non-Fatal , Substantial ,341
 ANC08WA015 , 10/13/2007 , VMC , Fatal(3) , Substantial ,342
 NYC08WA014 , 10/13/2007 , IMC , Fatal(1) , Destroyed ,343
 LAX08CA012 , 10/13/2007 , VMC , Non-Fatal , Substantial ,344
 CHI08CA036 , 10/13/2007 , VMC , Non-Fatal , Substantial ,345
 NYC08WA013 , 10/12/2007 , VMC , Fatal(7) , Substantial ,346
 DEN08LA010 , 10/12/2007 , VMC , Non-Fatal , Substantial ,347
 DFW08CA011 , 10/12/2007 , VMC , Non-Fatal , Substantial ,348
 LAX08CA010 , 10/11/2007 , VMC , Non-Fatal , Substantial ,349
 DFW08CA007 , 10/11/2007 , VMC , Non-Fatal , Substantial ,350
 DFW08CA009 , 10/11/2007 , VMC , Non-Fatal , Substantial ,351
 SEA08LA008 , 10/11/2007 , VMC , Non-Fatal , Substantial ,352
 MIA08LA009 , 10/11/2007 , VMC , Non-Fatal , Substantial ,353
 OPS08IA001 , 10/11/2007 , VMC , Incident ,  ,354
 DCA08WA003 , 10/11/2007 , VMC , Non-Fatal , Destroyed ,355
 MIA08WA015 , 10/11/2007 , VMC , Incident , Substantial ,356
 DFW08CA010 , 10/11/2007 , VMC , Non-Fatal , Substantial ,357
 DFW08CA014 , 10/10/2007 , VMC , Non-Fatal , Substantial ,358
 LAX08LA009 , 10/10/2007 , VMC , Non-Fatal , Substantial ,359
