RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,passenger_seats,AirportCode
 N44528 , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,206, L18 
N4256O,Airplane, Cessna ,210, No ,2,Reciprocating,290,KPK
 N28MG , Airplane , CESSNA , 208B , No ,2, Turbo Prop ,276, LCK 
 N43274 , Airplane , PIPER , PA-28R-200 , No ,1, Reciprocating ,232,WGM
 N75068 , Helicopter , Schweizer , 269C , No ,1, Reciprocating ,369, 0IN1 
 N46969 ,Airplane, Bell , UH-1B , No ,1, Turbo Shaft ,166,QCU
 N805EH , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,354, FCH 
 N70035 , Helicopter , ROBINSON HELICOPTER , R22 BETA , No ,1, Reciprocating ,314,QCQ
 N105PP , Airplane , BEECH ,60, No ,2, Reciprocating ,178, ILG 
 N29RV , Airplane , Vans Aircraft , RV-6 , Yes ,1, Reciprocating ,256, HBG 
 N141LG , Helicopter , Eurocopter Deutschland , BK117C1 , No ,2, Turbo Shaft ,155,OEA
N1444Z,Airplane," Bombardier, Inc. ", CRJ1 , No ,2,Reciprocating,334, BWI 
N9898K,Airplane, Airbus Industrie , A320 , No ,2,Reciprocating,373, BWI 
 N551GF , Airplane , CESSNA ,551, No ,2, Turbo Fan ,208, COE 
 N79GP , Airplane , PORTER GLEN , AVENTURA II , Yes ,1,Reciprocating,262, 21FA 
 N259ER , Airplane , CESSNA , 172N , No ,1, Reciprocating ,272, GAI 
 N169LC ,Airplane, Cessna ,152, No ,1, Reciprocating ,188, KTMB 
 N874SR , Airplane , Cirrus , SR22 , No ,1, Reciprocating ,337, 0A7 
 N95CH ,Airplane, Bell , 206-L4 , No ,1, Turbo Shaft ,296,NBF
N0574D,Airplane, McDonnell Douglas , MD-83 ,No,2,Reciprocating,396,JVK
 N6135M , Airplane , Cessna ,152, No ,1, Reciprocating ,248,VLA
 N1181Y , Airplane , Piper , PA-18-135 , No ,1, Reciprocating ,348,KQC
 N8770M , Airplane , Beech , A23 , No ,1, Reciprocating ,217, L09 
 N7016M , Airplane , SWEARINGEN T R/MASTERS W , Rand KR 2 , Yes ,1, Reciprocating ,196, H96 
 N141CD , Airplane , Cirrus Design Corp. , SR-20 , No ,2,Reciprocating,371,UCU
 N103JT , Airplane , Vans Aircraft , RV-8 , Yes ,1, Reciprocating ,328, LBE 
 N201VX , Airplane , Mooney , M20J , No ,1,Reciprocating,321, RSW 
 N64197 , Airplane , Cessna , 172P , No ,1, Reciprocating ,291, 1F9 
 N8965R , Airplane , Aeronca , 7JC , No ,1, Reciprocating ,227, PAWS 
 N148ND , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,152, KISM 
 N6555D , Airplane , CESSNA , 172N , No ,1, Reciprocating ,197,SHB
 N5134N ,Airplane, Cessna , 182Q , No ,1, Reciprocating ,296,ZMF
 N222LF , Helicopter , BELL , 222 UT , No ,2, Turbo Jet ,299,LUO
 N3NG , Airplane , CESSNA , T210M , No ,1, Reciprocating ,301, KRVS 
 N2159M , Airplane , HERINK H R/HERINK R W , CHALLENGER , Yes ,1,Reciprocating,350,VUR
 N74SR , Airplane ," Godwin, David P ", Sorrell SNJ-7 , Yes ,1, Reciprocating ,242, E80 
 N461TC , Airplane , Cessna ,152, No ,1, Reciprocating ,270, VNC 
N2699W,Airplane, Robinson , R-44 , No ,2,Reciprocating,158,TAW
 N3364G , Airplane , CESSNA , 310R , No ,2, Reciprocating ,208, OWB 
 N482SR , Airplane , Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,374, FBL 
 N1055L , Airplane , Lake , LA-4-200 , No ,1, Reciprocating ,318,SUA
 N3744F ,Airplane, Boeing , 737-832 , No ,2, Turbo Fan ,370, PHX 
 N4948P ,Airplane, Cessna ,152, No ,1, Reciprocating ,361, TMB 
 N3250B , Airplane , Piper , PA-18A-135 , No ,1, Reciprocating ,342,MOX
 N4191D , Airplane , Diamond Aircraft Industries , DA-20-C1 , No ,1, Reciprocating ,315, FFZ 
 N442FA , Helicopter , Robinson , R22 , No ,1, Reciprocating ,189,FZJ
 N8301M ,Airplane, Cessna , A150K , No ,1, Reciprocating ,297, HQZ 
 N104EA ,Airplane, Hiller , UH-12E , No ,1, Turbo Shaft ,369,BFF
 N3459T ,Airplane, Cessna ,177, No ,1, Reciprocating ,254, AUN 
 N1611B ,Airplane, Boeing , 767-300 , No ,2, Turbo Fan ,240, LFMN 
 N172MG , Airplane , Cessna , 172N , No ,1, Reciprocating ,167,JKU
 N123SD , Helicopter , Bell , 206A , No ,1, Turbo Shaft ,285, TWF 
 N108GD , Airplane , CIRRUS DESIGN CORP , SR20 , No ,1, Reciprocating ,232, SWF 
N3970B,Airplane, Boeing , B737-400 , No ,2,Reciprocating,249,TGV
 N61480 ,Airplane, Schweizer , 269C , No ,1, Reciprocating ,235,BLH
 N1831L ,Airplane, Beech , 95-B55 , No ,2, Reciprocating ,266, CRQ 
 N6147B ,Airplane, Cessna , 182A , No ,1, Reciprocating ,284,XFQ
 N707BS ,Airplane, American Champion Aircraft , 7GCBC , No ,1, Reciprocating ,176,BIN
 N252DD , Airplane , MOONEY , M20K , No ,1, Reciprocating ,158, BGM 
 N463SH , Helicopter , Robinson , R22 BETA , No ,1, Reciprocating ,399, RMN 
 N2237D , Airplane , Ayres , S2R-G1 , No ,1, Turbo Prop ,237, NONE 
 N5803A , Airplane , Cessna ,172, No ,1, Reciprocating ,380, KM93 
 N170BP , Airplane , Cessna , 170B , No ,1, Reciprocating ,329,KZG
 N3318E , Airplane , Cessna , 172N , No ,1, Reciprocating ,216, MER 
 N45137 , Airplane , Cessna ,150, No ,1, Reciprocating ,162, MKO 
N9609Z,Airplane, Cessna , 337G , No ,2,Reciprocating,327,GPX
 N6492E , Airplane , Cessna , 172N , No ,1, Reciprocating ,358, TBR 
 N676SW , Airplane , BOEING , 737-300 , No ,2, Turbo Fan ,355, DAL 
N3370X, Powered-Lift , BOEING ,777, No ,2,Reciprocating,314, LFPG 
 N4448Y ,Airplane, Padelt , PG37-1 , Yes ,2,Reciprocating,159,NEQ
 N191PS ,Airplane, Gomory , Long EZ , Yes ,1, Reciprocating ,181,IQP
 N987M ,Airplane, Cessna , 210L , No ,1, Reciprocating ,252, SBA 
 N4396T , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,254, MBT 
 N810MH , Helicopter , Eurocopter France , EC 130 B4 , No ,1, Turbo Shaft ,296, NONE 
N1489E,Airplane, Cessna ,404, No ,2,Reciprocating,248,LLJ
 N617EV ,Airplane, Evektor-Aerotechnik , Sportstar Plus , No ,1, Reciprocating ,217, EIK 
 N55307 , Airplane , PIPER , PA-28R-200 , No ,1, Reciprocating ,292,DOP
 N444CB ,Airplane, Aero Commander , GA-500-B , No ,2, Reciprocating ,344, MKC 
 N947DM ,Airplane, Czech Aircraft Works , Sport Cruiser , No ,1, Reciprocating ,264, UGN 
 N435M ,Airplane, Beech , A36 , No ,1, Reciprocating ,324,UHE
 N274ER ,Airplane, Piper , PA-44-180 , No ,2, Reciprocating ,375, C83 
 N9610W , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,356, HYA 
 N439MA , Airplane , American Champion (ACAC) , 8GCBC , No ,1, Reciprocating ,270, 4AK6 
 N46110 ,Airplane, Rotorway , Exec 162-F , Yes ,1, Reciprocating ,205, IXD 
 N120AB , Airplane , Cessna ,120, No ,1, Reciprocating ,176, OCF 
 N9198C , Airplane , Cessna ,180, No ,1, Reciprocating ,200,EUE
 N84859 , Airplane , PIPER , PA-31-350 , No ,2, Reciprocating ,170, KSLC 
 N3656R , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,188, SEZ 
 N31495 , Airplane , Maule , MX-7-180A , No ,1, Reciprocating ,204, AZ82 
 N5248E , Airplane , Cessna ,180, No ,1, Reciprocating ,209, PRIV 
 N38PC , Airplane ," Brand, Richard ", Bateleur 2000 , Yes ,1, Reciprocating ,190, NH69 
 N284BA , Glider , LET , L-33 Solo , No ,0,Reciprocating,282, 79NC 
 None ,Airplane, Titan Aircraft , Tornado I , Yes ,1, Reciprocating ,213, KMMV 
 N209LS , Airplane , GULFSTREAM AEROSPACE , G-IV , No ,2, Turbo Fan ,320, KSGR 
 N9592U ,Airplane, Grumman American , AA-5A , No ,1, Reciprocating ,355, E95 
 N7716K ,Airplane, Cessna , P210N , No ,1, Reciprocating ,183, MDD 
 N41535 ,Airplane, Piper , PA-28-151 , No ,1, Reciprocating ,220, 80KY 
 N131AB , Airplane , PIPER , PA-25-235 , No ,1, Reciprocating ,264, HWO 
 N3038P , Airplane , Piper , PA-34-200T , No ,2, Reciprocating ,236, APC 
 N2PR , Airplane , Sea & Air Sales , Searey , Yes ,1, Reciprocating ,357,OJU
 N9192X , Airplane , Air Tractor , AT-502 , No ,1, Turbo Shaft ,261,OZO
 N2813Z , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,209, LL53 
 N42RF , Airplane , LOCKHEED , WP-3D , No ,4, Turbo Prop ,390,NMS
 N11764 ,Airplane, Cessna ,150, No ,1, Reciprocating ,264, PAQ 
 N9151R , Airplane , Scottish , Bulldog 120 , No ,1, Reciprocating ,381,ERA
 N6895Z , Airplane , PIPER , PA-60-602P , No ,2, Reciprocating ,204, L73 
 N555BH ,Airplane, Bell ,407, No ,1, Turbo Shaft ,301, MOR 
 N4830B , Airplane , Cessna ,152, No ,1, Reciprocating ,183, 1F0 
 N881CP , Airplane , CESSNA , T182T , No ,1, Reciprocating ,251,CYE
 N381MC , Helicopter , HUGHES , 269C , No ,1, Reciprocating ,321,OHM
 N3627B , Airplane , BEECH , A36 , No ,1, Reciprocating ,365,VCV
N5777B,Airplane, Boeing , 737-200 ,No,2,Reciprocating,324,EUL
N3180V,Airplane, Piper , PA-32R ,No,2,Reciprocating,208,MUK
 N18R , Airplane , BEECH , E18S , No ,2, Reciprocating ,207, OPF 
 N701SE , Airplane , CESSNA , C208B , No ,1, Turbo Prop ,233, OPF 
 N5049Q , Airplane , CESSNA ,340, No ,2, Reciprocating ,354, O16 
 N30GC , Airplane , BEECH , A100 , No ,2, Turbo Prop ,208, CNO 
 N831SD ,Airplane, Arrow Falcon Exporters , OH-58+ , No ,1, Turbo Shaft ,388,LAZ
 N3257B ,Airplane, Piper , PA-18-135 , No ,1, Reciprocating ,292,BWC
 C-GNSR ,Airplane, Agusta , A119 , No ,1, Turbo Shaft ,339,RJU
 N7208B ,Airplane, Beech , J35 , No ,1, Reciprocating ,294, FTW 
N0486H, Airplane , Kaman , K1200 K-Max , No ,2,Reciprocating,214,XOE
 N723EP , Airplane , Vans Aircraft , RV-7A , Yes ,1, Reciprocating ,348, FYJ 
N1248D,Airplane, Cessna , 208B , No ,2,Reciprocating,233,YMH
 N5555R , Airplane , Cessna ,172, No ,1, Reciprocating ,235, KBNA 
 N6ZT , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,373, CEZ 
 N8356C , Helicopter , ROBINSON HELICOPTER , R44 , No ,1, Reciprocating ,267,QDT
 N46009 , Glider , Burkhart Grob , G 103 Twin II , No ,0,Reciprocating,181, 1I5 
 N601AG , Airplane ," Gluff, Alan ", Zenair 200 , Yes ,1, Reciprocating ,265,VXB
 N89120 , Airplane , Cessna ,140, No ,1, Reciprocating ,400, NONE 
N7200Q,Airplane, Learjet , 35A , No ,2,Reciprocating,356,MWA
 N980JH , Airplane , Piper , PA-31-350 , No ,2, Reciprocating ,232, KTCL 
 N27S , Airplane , Blondin , 601HDS , Yes ,1, Reciprocating ,160, D74 
 N457EZ , Airplane , Pipistrel , Sinus 912 , No ,1, Reciprocating ,233, FD93 
 N8353L , Airplane , CESSNA , 172I , No ,1, Reciprocating ,250,AVW
 N3189Z , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,187, 50S 
 N712j , Airplane , Bellanca , 7GCBC , No ,1, Reciprocating ,280, AXH 
 N58MB , Airplane , Smith Miniplane , DSA-1 , Yes ,1, Reciprocating ,386, VT46 
 N81800 , Airplane , Aeronca , 7AC , No ,1, Reciprocating ,243, FWS 
 N232PM ,Airplane, Interplane , XJ , No ,1, Reciprocating ,263, 7S5 
 N880UP ,Airplane, Douglas , DC-8-73F , No ,4, Turbo Fan ,302,JUR
 N42KK , Airplane , Kelly , F1D , Yes ,1, Reciprocating ,160, 4SD 
 N4635F , Airplane , Cessna , TP206A , No ,1, Reciprocating ,372,OSF
 N289DT , Airplane , Daniel R. Lloyd , Trish's Ride Home , Yes ,1, Reciprocating ,254, 4G1 
 N634WB , Airplane ," WRB Associates, LLC. ", Zodiac 601 XL , No ,1, Reciprocating ,160,ISI
 N4091H ,Airplane, Mooney , M20K , No ,1, Reciprocating ,339, PFN 
 N5733W , Airplane , Piper , PA-28-151 , No ,1, Reciprocating ,245, 2D1 
 N5912Q , Airplane , Mooney , M20E , No ,1, Reciprocating ,177, LAF 
 N32984 , Airplane , Ayres , S2-R , No ,1, Turbo Prop ,301,QOO
N5218W,Airplane, Robinson , R-44 , No ,2,Reciprocating,369, SIAV 
 N2161Y , Airplane , Dye , Rans S-12 Airaile , Yes ,1, Reciprocating ,288, 61S 
N9816O,Airplane, Fokker , F27 MARK 200 , No ,2,Reciprocating,258,TZL
 N4153M , Airplane , Piper , PA-18-150 , No ,1, Reciprocating ,298, NONE 
 N309PA ,Airplane, Piper , PA-28-181 , No ,1, Reciprocating ,348, DVT 
 N923PA ,Airplane, Piper , PA-28-181 , No ,1, Reciprocating ,175, DVT 
 N64994 , Airplane , Cessna ,152, No ,1, Reciprocating ,244, O15 
 N46361 , Airplane , Bagnall Harold E , Kitfox Lite 2 , Yes ,1, Reciprocating ,346, 03S 
 N77LU , Airplane , Cessna , 172R , No ,1, Reciprocating ,208, BKX 
 N2736P ,Airplane, Piper , PA-22-150 , No ,1, Reciprocating ,396, 1V6 
 N800CC ,Airplane, Raytheon Corporate Jets , Hawker 800XP , No ,2, Turbo Fan ,248, SNA 
 N556CP , Helicopter , McDonnell Douglas Helicopter , 369E , No ,1, Turbo Shaft ,355,KFS
 N185MH , Helicopter , Robinson , R-22 , No ,1, Reciprocating ,399,XGJ
 N919UW , Airplane , BOEING , 757-225 , No ,2, Turbo Fan ,198, CLT 
 N21101 ,Airplane, Cessna , 172S , No ,1, Reciprocating ,349, KUDD 
 N717SB ,Airplane, Piper , 601P , No ,2, Reciprocating ,271,YQB
 N8251M ,Airplane, Cessna , T210K , No ,1, Reciprocating ,326, LAM 
 N4366R , Airplane , Cessna , 172M , No ,1, Reciprocating ,374, DLH 
N2580U,Airplane, Cessna ,172, No ,2,Reciprocating,241,VRA
 N27175 , Airplane , Grumman American , AA-5A , No ,1, Reciprocating ,348, 2WA1 
N6365M,Airplane, Boeing , 737-800 , No ,2,Reciprocating,210,CVN
N1336J,Airplane, Vans Aircraft , RV4 , Yes ,2,Reciprocating,150,YHY
N5678Q,Airplane, Robinson , R-22B , No ,2,Reciprocating,355,TAW
 N697MC ,Airplane, Cessna ,650, No ,2, Turbo Fan ,200, ACY 
 N5050B ,Airplane, Beech , F35 , No ,1, Reciprocating ,296,LMJ
 N8155C , Airplane , PIPER , PA-28-181 , No ,1, Reciprocating ,268, LNA 
 N2099K ,Airplane, Luscombe , 8A , No ,1, Reciprocating ,298, 82J 
 N3971X , Airplane , PIPER , PA-28R-200 , No ,1, Reciprocating ,228,JYC
 N36LB ,Airplane, Schempp-Hirth , Ventus B/16.6 , No ,0,Reciprocating,151,ZPU
 N5181A , Airplane , Cessna ,172, No ,1, Reciprocating ,285, SWO 
 N16SF , Airplane , Beech , A36 , No ,1, Reciprocating ,246, CMA 
N2003J,Airplane, Piper , PA-46 , No ,2,Reciprocating,167,YQS
 N702BW , Airplane ," Veltman, Robert ", CH701 , Yes ,1, Reciprocating ,237, RNP 
 N412KK , Helicopter , Bell , 206L-1 , No ,1, Turbo Shaft ,302, RNM 
 N195LS , Airplane , Ploof Progressive Aerodyne's , Searey , No ,1, Reciprocating ,374,NEL
 N6791J , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,169, FCH 
 NONE ,Airplane, North Wing , Mustang II 17.5 , No ,1, Reciprocating ,343, 1Q4 
 N94320 ,Airplane, Ercoupe , 415-C , No ,1, Reciprocating ,342, SUA 
 N744RG ,Airplane, Robinson , R-44 , No ,1, Reciprocating ,329,NGI
 N1422E , Airplane , Cessna , 172N , No ,1, Reciprocating ,217, GJT 
 N5859L , Airplane , Grumman American , AA-5 , No ,1, Reciprocating ,301,QKH
 N7188S , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,363, KLGB 
 N1602A , Airplane , Piper , PA-18 , No ,1, Reciprocating ,262,YXK
 N327ND , Airplane , PIPER , PA-44-180 , No ,2, Reciprocating ,186, LXL 
 N3236P , Airplane , Piper , PA-18 , No ,1, Reciprocating ,196,RIF
 N52730 , Airplane , Taylorcraft , DCO-65 , No ,1, Reciprocating ,260, FMY 
 N61AC ,Airplane, Catchot Angus , Kitfox IV , Yes ,1, Reciprocating ,189, 2FA5 
N6033U,Airplane, Cessna ,182, No ,2,Reciprocating,233,XVK
N6255J, Airplane , Beech , A36 , No ,2,Reciprocating,177,SHJ
 N43450 ,Airplane, Piper , PA-32R-301 , No ,1, Reciprocating ,243, KFRG 
 N4672M ,Airplane, Cessna ,152, No ,1, Reciprocating ,159, KFRG 
 N80997 , Airplane , Globe , GC-1B , No ,1, Reciprocating ,259, KEDE 
 N223Z , Helicopter , Robinson , R-44 II , No ,1, Reciprocating ,152,RFQ
 N6628N , Airplane , Taylorcraft , F-19 , No ,1, Reciprocating ,359, 55AK 
 N757DP , Airplane , Cessna ,152, No ,1, Reciprocating ,280, 3B1 
 N1UU , Airplane , Blair , Skybolt , Yes ,1, Reciprocating ,256, 8A1 
 N5104K ,Airplane, Ryan , Navion , No ,1, Reciprocating ,342, SAF 
 N5323D , Airplane , Cessna , 172N , No ,1, Reciprocating ,195, DAG 
 N172GH , Airplane , Cessna , 172R , No ,1, Reciprocating ,371, KLFK 
 N331NW , Airplane , Airbus Industrie , A320-211 , No ,2, Turbo Jet ,210, FAR 
 N780SR , Airplane , Ryan , ST-3KR , No ,1, Reciprocating ,398,WPZ
 N6157G , Airplane , Cessna , 150K , No ,1, Reciprocating ,188,VWU
 N345TV , Helicopter , BELL , 206B , No ,1, Turbo Shaft ,153,FOR
 N1431S , Airplane , Cessna , C-182 , No ,1, Reciprocating ,325, PVT 
N7584F,Airplane, Piper , PA-34 , No ,2,Reciprocating,371,MCO
 N3246H , Helicopter , Robinson , R44 Raven II , No ,1, Turbo Shaft ,260,SFS
 N1437S , Airplane , Cessna ,182, No ,1, Reciprocating ,350, 0A7 
 N48862 , Airplane , Cessna ,152, No ,1, Reciprocating ,208,NJQ
